dataset_id,model_id,balance_accuracy
41,1203, 0.184
0,1313, 0.038575978
53,1409, 0.333837427
51,1490, 0.5
2,876, 0.189822774
42,1699, 0.5
14,1040, 0.489
70,975, 0.308501624
3,1457, 0.140265781
42,1709, 0.43959842
7,381, 0.9915
52,607, 0.343977922
38,271, 0.5
7,1806, 0.332
12,1025, 0.3805
44,1531, 0.567843319
7,1821, 0.5305
57,688, 0.078044692
12,437, 0.518
44,1183, 0.856870677
34,397, 0.503924133
13,748, 0.5
18,531, 0.49185398
69,1035, 0.513212232
22,662, 0.500192012
59,1690, 0.4082798
51,379, 0.9954
20,592, 0.59927734
23,232, 0.5
7,1045, 0.462
55,1860, 0.121767661
36,1443, 0.5
33,918, 0.203205671
18,669, 0.547173399
28,125, 0.216127309
22,648, 0.468828593
33,1271, 0.146106878
69,1495, 0.509472457
14,1474, 0.5155
56,1039, 0.565
43,1248, 0.187828963
58,1526, 0.592857143
11,631, 0.499179104
36,1824, 0.301204244
11,223, 0.505779436
37,983, 0.25
49,1298, 0.302808105
9,1490, 0.5
12,1353, 0.421
34,935, 0.501962067
70,1438, 0.25
59,1547, 0.520999902
38,1350, 0.386666667
58,1528, 0.625
64,1679, 0.387466667
38,1036, 1.0
8,783, 0.1
0,1309, 0.316136015
38,1362, 0.691666667
3,918, 0.202340659
23,237, 0.493080993
29,842, 0.258218793
24,1052, 0.160472257
34,942, 0.444081099
26,729, 0.99111202
11,230, 0.499995854
27,471, 0.484782609
14,1637, 0.507
70,988, 0.252272727
51,1631, 0.5
45,1106, 0.333138043
42,566, 0.500032916
6,622, 0.619520241
34,176, 0.385546109
57,695, 0.092210727
42,1132, 0.417906517
19,1133, 0.5
8,791, 0.1
27,184, 0.55
5,836, 0.250051161
69,438, 0.426209465
55,905, 0.131294489
34,406, 0.548397646
0,720, 0.499706605
21,479, 0.328525995
69,1625, 0.499848592
36,1015, 0.47160168
71,166, 0.173931107
54,1826, 0.271280387
14,309, 0.451
57,1660, 0.102858532
38,250, 0.655
69,1030, 0.456192016
12,1639, 0.47
36,1830, 0.186020336
31,217, 0.25
12,380, 0.991
21,493, 0.333333333
16,1385, 0.402791511
28,287, 0.196220184
56,102, 0.5
51,300, 0.5038
19,1699, 0.498088894
18,1757, 0.584312151
63,1662, 0.913414162
27,191, 0.656521739
68,1312, 0.315496334
39,1665, 0.101770027
70,1841, 0.25
69,1363, 0.469474274
0,701, 0.313069281
9,1798, 0.498324178
6,643, 0.31566899
40,1411, 0.111807137
60,967, 0.5
31,831, 0.212185284
18,529, 0.466934257
70,986, 0.246183795
18,659, 0.519228494
3,156, 0.417484339
42,554, 0.565108624
33,1169, 0.138884287
71,910, 0.165274606
3,1263, 0.145804794
9,1489, 0.5
25,699, 0.3236
16,1376, 0.568623425
53,1561, 0.514604162
30,838, 0.251896813
9,1624, 0.512875006
13,407, 0.975392625
23,526, 0.438848189
51,257, 0.4364
66,1107, 0.154245714
56,1479, 0.5125
13,1272, 0.5
5,866, 0.25
66,1102, 0.210340983
14,1036, 0.4905
24,688, 0.83820286
16,491, 0.333333333
64,1567, 0.5
0,91, 0.738170177
11,541, 0.5
39,1054, 0.125
28,885, 0.328243853
36,1433, 0.25
14,306, 0.399
65,1145, 0.477685279
5,812, 0.241324175
38,1634, 0.426666667
31,853, 0.213398455
63,1050, 0.1
66,1343, 0.204600464
34,1285, 0.5
29,868, 0.267089253
60,590, 0.485673135
36,1012, 0.25
46,728, 0.707527976
27,753, 0.5
30,839, 0.25
40,1549, 0.141618652
38,313, 0.5
41,1110, 0.3944
26,327, 0.705150937
14,119, 0.968
9,265, 0.5
37,1824, 0.180833955
21,1391, 0.360391153
41,1344, 0.204960396
65,1132, 0.553428549
8,789, 0.105555556
65,568, 0.493699732
12,1628, 0.311
8,283, 0.111111111
45,1340, 0.25498827
21,476, 0.327645723
51,1800, 0.4606
43,1449, 0.151740971
48,410, 0.500047086
44,1189, 0.560690989
23,657, 0.956247456
14,386, 0.758
71,906, 0.206100816
63,1512, 0.080821889
38,1371, 0.5
4,177, 0.860338429
42,1140, 0.489795918
34,418, 0.518312623
65,571, 0.507749654
18,632, 0.505078587
38,1025, 1.0
6,223, 0.971143377
53,1421, 0.351625338
38,426, 0.365
43,1871, 0.165255032
63,1504, 0.1
56,104, 0.4605
38,312, 0.371666667
4,1282, 0.400717116
38,1034, 0.996666667
7,1495, 0.509
20,956, 0.695017182
33,1849, 0.129108553
46,1229, 0.550356053
38,260, 0.5
49,1794, 0.331944444
63,1651, 0.1
55,1164, 0.164520483
5,198, 0.285524615
3,1152, 0.161127572
65,1718, 0.507069023
13,468, 0.5
56,1347, 0.5
25,700, 0.2866
59,1414, 0.5
12,1627, 0.7085
6,523, 0.50961123
26,1227, 0.712129478
70,1840, 0.245564872
50,1342, 0.2
12,381, 0.991
5,815, 0.258582273
46,1239, 0.5
7,111, 0.714
50,1203, 0.17
45,1203, 0.172286953
39,692, 0.162308242
55,160, 0.140288682
28,123, 0.312374706
7,1026, 0.4255
63,1671, 0.913674577
33,1455, 0.13725614
20,957, 0.493405094
63,688, 0.1
31,221, 0.200371926
3,1871, 0.140704648
65,555, 0.5553945
43,1164, 0.176593908
9,441, 0.5
37,1001, 0.254121878
27,943, 0.410869565
39,691, 0.147602962
71,1460, 0.167823263
50,1205, 0.235
4,1279, 0.467428603
20,1575, 0.975237518
69,426, 0.510980858
30,868, 0.285084831
28,280, 0.261786156
3,1164, 0.147475549
33,1865, 0.167255195
7,106, 0.9885
70,1008, 0.25
21,501, 0.31448716
48,928, 0.52034227
63,679, 0.1
11,351, 0.469676617
13,173, 0.500084599
9,1024, 0.516619634
7,264, 0.5
28,787, 0.226029273
0,699, 0.342174958
19,1144, 0.547914852
25,1316, 0.4762
43,1457, 0.199104297
64,1550, 0.5277
57,1067, 0.09765625
37,1008, 0.25
40,1091, 0.125
33,158, 0.16464389
57,1063, 0.09296875
37,991, 0.25
51,308, 0.5
19,570, 0.827942992
27,932, 0.5
66,1112, 0.171034635
68,717, 0.362437091
51,313, 0.4984
14,1487, 0.501
5,805, 0.246719365
45,1112, 0.135873248
14,1485, 0.516
51,320, 0.4118
22,241, 0.453012993
64,1548, 0.5201
24,1058, 0.098873874
51,259, 0.5
5,206, 0.216467373
18,1755, 0.566858205
11,361, 0.5
51,1029, 0.3632
11,363, 0.49594942
9,1034, 0.485084826
33,1459, 0.151436639
23,226, 0.499287749
69,270, 0.504926435
4,455, 0.505515192
46,727, 0.757884028
69,315, 0.444435192
43,1255, 0.178863933
24,1663, 0.114710817
52,474, 0.333333333
66,1119, 0.165086538
56,1042, 0.483
48,449, 0.5
38,1626, 0.666666667
11,641, 0.495866501
9,1644, 0.50097974
13,462, 0.5
23,643, 0.502340252
40,1561, 0.118497923
57,1057, 0.040962418
23,665, 0.953144078
66,1737, 0.188466561
18,652, 0.534612135
53,1407, 0.246244265
28,776, 0.168859051
71,1471, 0.174046714
20,962, 0.460935921
24,1654, 0.117269898
9,1361, 0.553406202
44,1546, 0.5
56,256, 0.549
7,265, 0.4995
22,546, 0.5
27,455, 0.484782609
14,303, 0.468
42,555, 0.56998025
19,1128, 0.470917842
27,1283, 0.5
27,1286, 0.497826087
23,244, 0.494149369
59,1089, 0.0
52,486, 0.327222551
14,1808, 0.5195
68,1302, 0.32607859
21,1377, 0.393765418
46,330, 0.476093591
8,796, 0.1
7,98, 0.7085
40,1566, 0.125
70,1826, 0.276005871
48,747, 0.5
69,390, 0.502526619
39,1507, 0.125
48,936, 0.499186974
65,1703, 0.537008959
4,418, 0.43888784
46,327, 0.920651068
48,183, 0.5
