dataset_id,model_id,balanced_accuracy,rate_100
0,90,1,100
0,75,0.999719652,100
0,79,0.999719652,100
0,76,0.999439305,100
0,78,0.999439305,100
0,81,0.999439305,100
0,82,0.999161527,100
0,88,0.999160837,100
0,80,0.998881179,100
0,92,0.998606221,100
0,77,0.997482011,100
0,94,0.996644978,100
0,95,0.992736031,99
0,86,0.960384246,96
0,73,0.958895564,96
0,74,0.95831851,96
0,72,0.940458505,94
0,85,0.940437998,94
6,228,0.999718151,100
6,240,0.999464668,100
6,226,0.999182819,100
6,232,0.999168636,100
6,229,0.998929336,100
6,227,0.998915153,100
6,231,0.998915153,100
6,238,0.998619121,100
6,225,0.998379821,100
6,242,0.997773575,100
6,230,0.997759392,100
6,245,0.997548457,100
6,244,0.995717345,100
6,236,0.984175722,98
6,235,0.982048577,98
6,224,0.977159675,98
6,222,0.971675088,97
6,223,0.971143377,97
6,243,0.960516405,96
6,246,0.958885665,96
6,239,0.956395194,96
6,241,0.93805721,94
6,237,0.927178565,93
6,234,0.922296906,92
7,379,0.996,100
7,376,0.9945,99
7,378,0.9945,99
7,104,0.9935,99
7,375,0.9925,99
7,103,0.9915,99
7,381,0.9915,99
7,382,0.9915,99
7,101,0.9905,99
7,377,0.9895,99
7,380,0.9895,99
7,100,0.989,99
7,106,0.9885,99
7,107,0.9885,99
7,105,0.988,99
7,390,0.9865,99
7,392,0.986,99
7,113,0.9815,98
7,115,0.979,98
7,102,0.9775,98
7,394,0.9775,98
7,117,0.977,98
7,395,0.9735,97
7,388,0.97,97
7,119,0.9695,97
7,120,0.963,96
7,1370,0.9445,94
7,1645,0.938,94
7,445,0.9325,93
7,1369,0.911,91
9,302,0.927479975,93
12,379,0.9945,99
12,378,0.9935,99
12,380,0.991,99
12,381,0.991,99
12,104,0.99,99
12,105,0.99,99
12,376,0.99,99
12,101,0.9895,99
12,106,0.9895,99
12,107,0.9895,99
12,100,0.989,99
12,103,0.989,99
12,375,0.989,99
12,382,0.9875,99
12,377,0.9835,98
12,390,0.9825,98
12,115,0.98,98
12,113,0.9795,98
12,392,0.9785,98
12,117,0.9755,98
12,102,0.9745,97
12,395,0.974,97
12,394,0.9715,97
12,119,0.968,97
12,120,0.964,96
12,388,0.961,96
12,1370,0.9495,95
12,1645,0.9455,95
12,445,0.9365,94
12,1369,0.913,91
13,417,0.995746204,100
13,403,0.993830803,99
13,400,0.993577007,99
13,404,0.991407809,99
13,406,0.987577007,99
13,413,0.987492408,99
13,401,0.985900217,99
13,415,0.985069414,99
13,407,0.975392625,98
13,420,0.970308026,97
13,405,0.969915401,97
13,419,0.964561822,96
13,399,0.924631236,92
14,379,0.9945,99
14,378,0.9935,99
14,380,0.991,99
14,381,0.991,99
14,104,0.99,99
14,105,0.99,99
14,376,0.99,99
14,101,0.9895,99
14,106,0.9895,99
14,107,0.9895,99
14,100,0.989,99
14,103,0.989,99
14,375,0.989,99
14,382,0.9875,99
14,377,0.9835,98
14,390,0.9825,98
14,115,0.98,98
14,113,0.9795,98
14,392,0.9785,98
14,117,0.9755,98
14,102,0.9745,97
14,395,0.974,97
14,394,0.9715,97
14,119,0.968,97
14,120,0.964,96
14,388,0.961,96
14,1370,0.9495,95
14,1645,0.9455,95
14,445,0.9365,94
14,1369,0.913,91
20,1579,0.980139478,98
20,1576,0.980013139,98
20,1578,0.97743582,98
20,1575,0.975237518,98
20,1577,0.967758237,97
20,1582,0.960026279,96
20,1580,0.957069941,96
20,1581,0.955124318,96
20,577,0.943551647,94
20,1588,0.941858702,94
20,1590,0.932812816,93
20,1595,0.927026481,93
21,602,0.907440292,91
22,642,0.993426873,99
22,640,0.99238163,99
