dataset_id,model_id,according accuracy
0,686,0.939
0,318,0.938
1,596,0.949
1,708,0.947
1,795,0.946
1,597,0.925
1,950,0.914
1,841,0.905
1,641,0.901
1,868,0.883
1,772,0.851
1,527,0.508
1,318,0.501
2,102,0.815
2,101,0.8
3,319,0.946
3,177,0.922
3,178,0.91
3,675,0.886
3,791,0.87
3,277,0.807
3,456,0.778
3,978,0.502
3,368,0.498
3,857,0.497
4,556,0.934
4,273,0.932
4,333,0.932
4,823,0.932
4,457,0.931
4,751,0.931
4,335,0.917
4,601,0.84
4,758,0.765
4,153,0.761
4,759,0.748
4,676,0.737
4,672,0.693
4,700,0.583
4,816,0.581
4,674,0.55
4,675,0.542
4,673,0.502
5,116,0.48
6,152,0.818
7,736,0.925
7,609,0.924
7,721,0.924
7,767,0.922
8,195,0.624
8,193,0.607
8,194,0.59
9,818,0.814
9,819,0.812
10,236,0.549
10,218,0.548
10,214,0.537
10,227,0.536
10,210,0.532
10,217,0.513
10,235,0.51
10,226,0.503
10,209,0.499
10,213,0.494
11,216,0.896
11,238,0.895
11,220,0.892
11,229,0.89
11,212,0.888
11,219,0.882
11,215,0.879
11,237,0.878
11,228,0.876
11,211,0.868
12,560,0.788
12,561,0.761
13,259,0.716
14,611,0.9768
14,612,0.9765
14,281,0.9742
14,615,0.9739
14,740,0.9729
14,768,0.9703
14,761,0.9529
14,143,0.9506
14,678,0.9506
14,834,0.95
14,241,0.949
14,113,0.9487
14,864,0.9487
14,550,0.9477
14,679,0.9474
14,991,0.9474
14,586,0.9471
14,621,0.9471
14,256,0.9468
14,733,0.9468
14,743,0.9468
14,70,0.9465
14,665,0.9461
14,160,0.9458
14,252,0.9458
14,824,0.9458
14,861,0.9455
14,284,0.9448
14,828,0.9448
14,507,0.9432
14,489,0.9429
14,875,0.9429
14,547,0.9426
14,200,0.941
14,342,0.9406
14,737,0.94
14,739,0.94
14,918,0.9394
14,648,0.939
14,896,0.9368
14,514,0.9352
14,734,0.9332
14,614,0.9323
14,738,0.9319
14,336,0.931
14,266,0.9306
14,964,0.9303
14,613,0.9255
14,865,0.92
14,285,0.9187
