"model_id","Licenses","Size_categories","v1","v2","v3","v4","v5","v6","v7","v8","v9","v10","v11","v12","v13","v14","v15","v16"
"66","0","54","0.389543645","-0.162512594","0.206780406","0.153030322","-0.132590213","-0.152059016","-0.291526243","0.077025565","0.068947406","-0.29896886","-0.011464087","-0.020660404","0.261414461","0.183885714","0.094601856","0.186462449"
"67","0","18","0.361730677","-0.154939793","0.197680441","0.09529671","-0.115253532","-0.165563725","-0.26402463","0.070643786","0.072727532","-0.295124716","0.009188812","-0.01110008","0.251763307","0.150942342","0.091096259","0.178187566"
"68","0","18","0.351173962","-0.159332628","0.18989093","0.115687537","-0.105832532","-0.155960299","-0.251372699","0.072078005","0.074050583","-0.296640741","0.004553195","-0.02410963","0.227858797","0.158866228","0.089833113","0.156526587"
"69","0","18","0.285512803","-0.135168081","0.162811797","0.099746645","-0.083899232","-0.119871226","-0.196265511","0.057432205","0.056725304","-0.246512845","0.004999755","-0.020655568","0.184296582","0.134279212","0.077937464","0.109681939"
"70","0","14","0.362074386","-0.157717818","0.200526446","0.112505472","-0.113205682","-0.162973938","-0.273978129","0.072730271","0.0791492","-0.302808428","0.013612163","-0.024049921","0.249015762","0.157837396","0.094588139","0.176197231"
"71","0","14","0.363416053","-0.161215482","0.201366722","0.105327117","-0.113554013","-0.166575612","-0.270795186","0.072862613","0.074610463","-0.297101522","0.012282654","-0.01603871","0.254162288","0.15018261","0.093824187","0.178316275"
"72","0","18","0.364679225","-0.160122155","0.199862172","0.101547518","-0.11749807","-0.167348454","-0.272712574","0.074253114","0.071140147","-0.299216674","0.01237349","-0.011469304","0.256481058","0.150677614","0.098639793","0.178534269"
"73","0","18","0.329078875","-0.142582476","0.180176459","0.096095925","-0.108805772","-0.15251656","-0.250171074","0.067516409","0.063605505","-0.27446192","0.00823466","-0.013216053","0.227056775","0.139218446","0.088952852","0.15871694"
"74","0","31","0.429058091","-0.177480942","0.258346206","0.204395787","-0.137886074","-0.160824142","-0.33400745","0.068911612","0.098470603","-0.340451978","-0.014361403","-0.032816616","0.288103814","0.196105059","0.115042233","0.176932096"
"75","0","26","0.332197258","-0.13870473","0.180240429","0.105557361","-0.101119537","-0.147861325","-0.242769654","0.072423456","0.057739537","-0.275593409","0.009030845","-0.026114303","0.219124928","0.146560938","0.079453418","0.155618785"
