dataset,according_accuracy,groundtruth_according_accuracy,model
1,0.902,0.949,596
1,0.902,0.947,708
1,0.902,0.946,795
1,0.902,0.925,597
1,0.902,0.914,950
1,0.902,0.905,841
1,0.902,0.901,641
1,0.902,0.883,868
1,0.902,0.851,772
1,0.902,0.508,527
1,0.902,0.501,318
3,0.84125,0.946,319
3,0.84125,0.922,177
3,0.84125,0.91,178
3,0.84125,0.886,675
3,0.84125,0.87,791
3,0.84125,0.807,277
3,0.84125,0.778,456
3,0.84125,0.502,978
3,0.84125,0.498,368
3,0.84125,0.497,857
23,0.902,0.871,533
23,0.902,0.834,872
23,0.902,0.831,469
23,0.902,0.782,850
23,0.902,0.779,985
23,0.902,0.777,995
23,0.902,0.754,921
23,0.902,0.724,997
23,0.902,0.67,197
23,0.902,0.071,600
63,0.641448275862069,0.954,319
63,0.987,0.974,784
63,0.973,0.96,780
63,0.96,0.959,783
63,0.967,0.957,782
63,0.781,0.952,323
63,0.43,0.533,511
63,0.634,0.509,517
63,0.592,0.484,717
63,0.56,0.474,885
