model_id,predict_according_accuracy,groundtruth_according_accuracy,dataset_id
318,0.937,0.501,1
527,0.9246,0.508,1
596,0.9161,0.949,1
597,0.906,0.925,1
641,0.9,0.901,1
708,0.92,0.947,1
772,0.967,0.851,1
795,0.9319,0.946,1
841,0.9215,0.905,1
868,0.9197,0.883,1
950,0.9323,0.914,1
177,0.942,0.922,3
178,0.9157,0.91,3
277,0.9314,0.807,3
319,0.902,0.946,3
368,0.9232,0.498,3
456,0.9014,0.778,3
675,0.931,0.886,3
791,0.987,0.87,3
857,0.9399,0.497,3
978,0.933,0.502,3
197,0.9427,0.67,23
469,0.9355,0.831,23
533,0.923,0.871,23
600,0.992,0.071,23
850,0.9171,0.782,23
872,0.935,0.834,23
921,0.931,0.754,23
985,0.9355,0.779,23
995,0.9365,0.777,23
997,0.9325,0.724,23
319,0.902,0.954,63
323,0.938,0.952,63
511,0.973,0.533,63
517,,0.509,63
717,0.933,0.484,63
780,0.973,0.96,63
782,0.931,0.957,63
783,0.96,0.959,63
784,0.987,0.974,63
885,0.974,0.474,63
