dataset,groundtruth_according_accuracy,model,according_accuracy
1,0.949,596,0.8766722222222223
1,0.947,708,0.8766722222222223
1,0.946,795,0.8766722222222223
1,0.925,597,0.8766722222222223
1,0.914,950,0.8728655555555556
1,0.905,841,0.8766722222222223
1,0.901,641,0.8766722222222223
1,0.883,868,0.8766722222222223
1,0.851,772,0.8724222222222222
1,0.508,527,0.8713255555555556
1,0.501,318,0.8766722222222223
3,0.946,319,0.6681055555555555
3,0.922,177,0.6681055555555555
3,0.91,178,0.6681055555555555
3,0.886,675,0.6230499999999999
3,0.87,791,0.6681055555555555
3,0.807,277,0.6681055555555555
3,0.778,456,0.6681055555555555
3,0.502,978,0.6681055555555555
3,0.498,368,0.6681055555555555
3,0.497,857,0.6681055555555555
23,0.871,533,0.8500055555555555
23,0.834,872,0.8500055555555555
23,0.831,469,0.8500055555555555
23,0.782,850,0.8500055555555555
23,0.779,985,0.8500055555555555
23,0.777,995,0.8500055555555555
23,0.754,921,0.8500055555555555
23,0.724,997,0.8500055555555555
23,0.67,197,0.8500055555555555
23,0.071,600,0.8500055555555555
63,0.954,319,0.8572563218390805
63,0.974,784,0.9263666666666668
63,0.96,780,0.9235666666666666
63,0.959,783,0.9209666666666667
63,0.957,782,0.9223666666666667
63,0.952,323,0.8851666666666667
63,0.533,511,0.8149666666666666
63,0.509,517,0.8557666666666666
63,0.484,717,0.8473666666666666
63,0.474,885,0.8409666666666666
