dataset,model,balanced_accuracy,rate
1,379,0.998929336,100
1,104,0.998572448,100
1,378,0.99821556,100
1,382,0.997144897,100
1,105,0.996788009,100
1,376,0.996788009,100
1,380,0.996431121,100
1,103,0.996074233,100
1,375,0.996074233,100
1,100,0.995360457,100
1,106,0.995003569,100
1,107,0.995003569,100
1,381,0.994646681,99
1,101,0.994289793,99
1,113,0.992862241,99
1,390,0.992148465,99
1,392,0.991791577,99
1,377,0.990720914,99
1,394,0.990007138,99
1,102,0.98965025,99
1,395,0.989293362,99
1,115,0.987508922,99
1,117,0.982869379,98
1,120,0.980728051,98
1,119,0.975374732,98
1,388,0.974304069,97
1,1645,0.947894361,95
1,1370,0.947180585,95
1,445,0.937901499,94
1,1369,0.913276231,91
1,444,0.895788722,90
1,1644,0.86509636,87
1,385,0.813704497,81
1,374,0.807280514,81
1,372,0.799428979,80
1,386,0.76302641,76
1,373,0.762312634,76
1,110,0.756245539,76
1,99,0.755531763,76
1,98,0.748037116,75
1,1627,0.736259814,74
1,111,0.727337616,73
1,396,0.706995004,71
1,97,0.672733762,67
1,384,0.658815132,66
1,1030,0.653818701,65
1,1817,0.634189864,63
1,1477,0.631334761,63
1,389,0.630264097,63
1,1803,0.628479657,63
1,1802,0.626695218,63
1,387,0.625624554,63
1,305,0.620985011,62
1,1480,0.618843683,62
1,1801,0.61598858,62
1,391,0.606709493,61
1,393,0.606352605,61
1,112,0.593147752,59
1,1494,0.592790864,59
1,1481,0.589578872,59
1,109,0.584939329,58
1,121,0.584582441,58
1,314,0.57958601,58
1,1349,0.578515346,58
1,118,0.578158458,58
1,116,0.575660243,58
1,304,0.575303355,58
1,1478,0.575303355,58
1,429,0.574232691,57
1,1354,0.56923626,57
1,1632,0.568879372,57
1,1624,0.568522484,57
1,108,0.564239829,56
1,424,0.563169165,56
1,1635,0.562098501,56
1,1804,0.560670949,56
1,114,0.559957173,56
1,254,0.553890079,55
1,1371,0.551034975,55
1,1815,0.548536759,55
1,255,0.546395432,55
1,1646,0.539614561,54
1,1626,0.538900785,54
1,1629,0.537830121,54
1,383,0.536759458,54
1,1638,0.535331906,54
1,1820,0.533904354,53
1,1634,0.530692363,53
1,318,0.529978587,53
1,1360,0.529978587,53
1,443,0.528551035,53
1,436,0.528194147,53
1,256,0.526766595,53
1,1357,0.526766595,53
1,1821,0.526766595,53
1,434,0.526052819,53
1,1816,0.526052819,53
1,438,0.525695931,53
1,1808,0.523911492,52
1,1630,0.521770164,52
1,1812,0.521770164,52
1,1819,0.521770164,52
1,302,0.520342612,52
1,446,0.520342612,52
1,1474,0.519628837,52
1,423,0.518915061,52
1,427,0.518558173,52
1,1472,0.518201285,52
1,301,0.517844397,52
1,435,0.517130621,52
1,1362,0.517130621,52
1,1482,0.516773733,52
1,251,0.514989293,51
1,1495,0.514989293,51
1,1636,0.51391863,51
1,430,0.513204854,51
1,1036,0.513204854,51
1,1367,0.513204854,51
1,1805,0.512491078,51
1,321,0.510706638,51
1,312,0.509279086,51
1,1622,0.508208423,51
1,1623,0.507851535,51
1,428,0.507137759,51
1,297,0.506067095,51
1,1485,0.505710207,51
1,1631,0.505710207,51
1,1368,0.505353319,51
1,300,0.504639543,50
1,266,0.504282655,50
1,1352,0.503568879,50
1,1487,0.503211991,50
1,298,0.502855103,50
1,1356,0.502498216,50
1,299,0.502141328,50
1,437,0.502141328,50
1,311,0.501427552,50
1,1642,0.501427552,50
1,1031,0.501070664,50
1,262,0.500713776,50
1,267,0.500713776,50
1,1348,0.500713776,50
1,1359,0.500713776,50
1,1361,0.500713776,50
1,1347,0.500356888,50
1,248,0.5,50
1,258,0.5,50
1,259,0.5,50
1,260,0.5,50
1,261,0.5,50
1,263,0.5,50
1,264,0.5,50
1,271,0.5,50
1,308,0.5,50
1,313,0.5,50
1,316,0.5,50
1,317,0.5,50
1,422,0.5,50
1,433,0.5,50
1,439,0.5,50
1,441,0.5,50
1,442,0.5,50
1,1033,0.5,50
1,1358,0.5,50
1,1483,0.5,50
1,1484,0.5,50
1,1489,0.5,50
1,1490,0.5,50
1,1491,0.5,50
1,1492,0.5,50
1,1496,0.5,50
1,1633,0.5,50
1,1637,0.5,50
1,1641,0.5,50
1,1643,0.5,50
1,1818,0.5,50
10,1227,0.950661241,95
10,327,0.920651068,92
10,732,0.871312309,87
10,345,0.856561546,86
10,1245,0.856052899,86
10,344,0.845879959,85
10,1244,0.837741607,84
10,740,0.833672431,83
10,730,0.81180061,81
10,729,0.789928789,79
10,727,0.757884028,76
10,742,0.756358087,76
10,725,0.746185148,75
10,745,0.745676501,75
10,731,0.739572737,74
10,1231,0.733468973,73
10,738,0.723296033,72
10,728,0.707527976,71
10,724,0.695320448,70
10,324,0.689725331,69
10,1232,0.686673449,69
10,726,0.684638861,68
10,723,0.682095626,68
10,744,0.681078332,68
10,323,0.679043744,68
10,739,0.671922686,67
10,1223,0.631230926,63
10,734,0.630722279,63
10,743,0.630722279,63
10,746,0.626653103,63
10,722,0.623092574,62
10,736,0.606307223,61
10,735,0.589013225,59
10,737,0.589013225,59
10,1246,0.587995931,59
10,1230,0.568667345,57
10,1224,0.567141404,57
10,346,0.566632757,57
10,322,0.557985758,56
10,331,0.553407935,55
10,1229,0.550356053,55
10,336,0.54069176,54
10,733,0.538148525,54
10,342,0.534587996,53
10,326,0.523397762,52
10,741,0.519837233,52
10,335,0.517802645,52
10,1225,0.510681587,51
10,1237,0.508646999,51
10,340,0.508138352,51
10,1226,0.506612411,51
10,343,0.503051882,50
10,1242,0.501525941,50
10,337,0.501017294,50
10,334,0.500508647,50
10,338,0.500508647,50
10,339,0.5,50
10,341,0.5,50
10,1233,0.5,50
10,1238,0.5,50
10,1239,0.5,50
10,1240,0.5,50
10,1241,0.5,50
10,1243,0.5,50
15,466,0.970684039,97
15,449,0.964169381,96
15,459,0.956026059,96
15,448,0.95276873,95
15,471,0.95276873,95
15,460,0.949511401,95
15,461,0.947882736,95
15,462,0.942996743,94
15,458,0.938110749,94
15,468,0.938110749,94
15,447,0.931596091,93
15,464,0.929967427,93
15,469,0.928338762,93
15,470,0.908794788,91
15,467,0.794788274,79
15,465,0.776872964,78
15,463,0.7752443,78
15,936,0.762214984,76
15,192,0.747557003,75
15,188,0.741042345,74
15,922,0.728013029,73
15,935,0.700325733,70
15,943,0.693811075,69
15,455,0.688925081,69
15,398,0.687296417,69
15,924,0.672638436,67
15,945,0.672638436,67
15,941,0.667752443,67
15,190,0.664495114,66
15,763,0.664495114,66
15,412,0.638436482,64
15,923,0.63029316,63
15,765,0.625407166,63
15,944,0.622149837,62
15,418,0.618892508,62
15,762,0.615635179,62
15,768,0.615635179,62
15,767,0.600977199,60
15,413,0.591205212,59
15,758,0.589576547,59
15,761,0.589576547,59
15,1284,0.578175896,58
15,766,0.558631922,56
15,414,0.557003257,56
15,760,0.553745928,55
15,759,0.543973941,54
15,755,0.535830619,54
15,771,0.53257329,53
15,1272,0.53257329,53
15,185,0.530944625,53
15,764,0.529315961,53
15,937,0.527687296,53
15,939,0.524429967,52
15,946,0.522801303,52
15,189,0.519543974,52
15,747,0.519543974,52
15,749,0.513029316,51
15,934,0.509771987,51
15,1273,0.509771987,51
15,770,0.504885993,50
15,181,0.503257329,50
15,933,0.503257329,50
15,186,0.501628664,50
15,175,0.5,50
15,176,0.5,50
15,177,0.5,50
15,178,0.5,50
15,179,0.5,50
15,180,0.5,50
15,182,0.5,50
15,397,0.5,50
15,399,0.5,50
15,400,0.5,50
15,401,0.5,50
15,402,0.5,50
15,403,0.5,50
15,404,0.5,50
15,405,0.5,50
15,406,0.5,50
15,407,0.5,50
15,409,0.5,50
15,410,0.5,50
15,411,0.5,50
15,415,0.5,50
15,417,0.5,50
15,419,0.5,50
15,450,0.5,50
15,451,0.5,50
15,452,0.5,50
15,453,0.5,50
15,454,0.5,50
15,456,0.5,50
15,457,0.5,50
15,750,0.5,50
15,751,0.5,50
15,752,0.5,50
15,753,0.5,50
15,754,0.5,50
15,757,0.5,50
15,925,0.5,50
15,926,0.5,50
15,929,0.5,50
15,932,0.5,50
15,1275,0.5,50
15,1276,0.5,50
15,1277,0.5,50
15,1278,0.5,50
15,1279,0.5,50
15,1280,0.5,50
15,1281,0.5,50
15,1282,0.5,50
15,1283,0.5,50
15,1287,0.5,50
15,1288,0.5,50
15,1289,0.5,50
15,1290,0.5,50
15,1293,0.5,50
15,1294,0.5,50
15,1295,0.5,50
15,1296,0.5,50
17,1377,0.995504841,100
17,1386,0.991355463,99
17,1385,0.98824343,99
17,1395,0.983056708,98
17,1394,0.980636238,98
17,1376,0.978907331,98
17,1381,0.978907331,98
17,1378,0.977178423,98
17,1390,0.976141079,98
17,1382,0.97406639,97
17,1380,0.973720609,97
17,1392,0.971991701,97
17,1375,0.970954357,97
17,1379,0.968188105,97
17,1388,0.967150761,97
17,1374,0.934301521,93
17,1372,0.93153527,93
17,1387,0.926694329,93
17,1384,0.925311203,93
17,1396,0.883471646,88
17,1373,0.782157676,78
17,602,0.699515906,70
17,600,0.677385892,68
17,619,0.64626556,65
17,1393,0.645919779,65
17,494,0.553250346,55
17,620,0.522475795,52
17,601,0.502074689,50
32,889,0.926168092,93
32,885,0.923342441,92
32,874,0.911984229,91
32,124,0.911541295,91
32,893,0.905209009,91
32,136,0.90388069,90
32,896,0.903441531,90
32,886,0.902065822,90
32,873,0.900705039,90
32,143,0.898462597,90
32,773,0.894472147,89
32,891,0.892886681,89
32,122,0.892595575,89
32,883,0.889212393,89
32,872,0.88841991,89
32,135,0.88732791,89
32,141,0.884183164,88
32,139,0.881458987,88
32,774,0.879860107,88
32,146,0.878776262,88
32,793,0.873608508,87
32,137,0.873604317,87
32,786,0.867161508,87
32,123,0.864970241,86
32,884,0.862720077,86
32,789,0.861593845,86
32,785,0.85524705,86
32,133,0.854767854,85
32,772,0.853900474,85
32,796,0.852066461,85
32,887,0.849965626,85
32,134,0.848400542,85
32,783,0.842209507,84
32,784,0.840659918,84
32,791,0.836228999,84
32,787,0.835792028,84
32,144,0.770258367,77
32,894,0.753996183,75
32,145,0.738534281,74
32,895,0.738446402,74
32,794,0.689401976,69
32,795,0.678070346,68
35,577,0.987804878,99
35,1576,0.981707317,98
35,1578,0.981707317,98
35,1579,0.981707317,98
35,1575,0.975609756,98
35,1577,0.969512195,97
35,1590,0.963414634,96
35,1581,0.961707317,96
35,1580,0.955609756,96
35,1588,0.955609756,96
35,1595,0.955609756,96
35,1582,0.937317073,94
35,1594,0.935609756,94
35,1574,0.85804878,86
35,1592,0.847804878,85
35,1573,0.795365854,80
35,1572,0.754390244,75
35,595,0.747804878,75
35,1585,0.737317073,74
35,956,0.720731707,72
35,594,0.713902439,71
35,1586,0.696097561,70
35,573,0.686829268,69
35,582,0.684878049,68
35,1584,0.665853659,67
35,952,0.66,66
35,950,0.650731707,65
35,578,0.648536585,65
35,951,0.639756098,64
35,1596,0.622439024,62
35,948,0.603658537,60
35,954,0.598536585,60
35,1591,0.594146341,59
35,580,0.584878049,58
35,1593,0.583414634,58
35,593,0.565121951,57
35,959,0.559756098,56
35,960,0.557317073,56
35,585,0.550243902,55
35,586,0.550243902,55
35,963,0.547560976,55
35,1587,0.546829268,55
35,961,0.543658537,54
35,592,0.520731707,52
35,958,0.52,52
35,968,0.52,52
35,574,0.518292683,52
35,949,0.518292683,52
35,596,0.512195122,51
35,587,0.510731707,51
35,971,0.506097561,51
35,1589,0.506097561,51
35,583,0.5,50
35,584,0.5,50
35,589,0.5,50
35,591,0.5,50
35,964,0.5,50
35,966,0.5,50
35,967,0.5,50
35,969,0.5,50
35,970,0.5,50
35,1583,0.5,50
47,1451,0.93104723,93
47,1454,0.927948794,93
47,1251,0.927829745,93
47,1455,0.925213791,93
47,1453,0.924842827,92
47,1254,0.924779574,92
47,1253,0.924765213,92
47,1450,0.9238678,92
47,1255,0.923340641,92
47,1465,0.922084452,92
47,1457,0.921393157,92
47,1250,0.921266906,92
47,1257,0.920739182,92
47,1263,0.918888928,92
47,1265,0.91811476,92
