dataset_id,model_id,balance_accuracy
7,436, 0.5335
14,432, 0.3415
70,1431, 0.19354073
51,99, 0.7076
57,1513, 0.966981586
26,1245, 0.792394072
54,989, 0.25
39,687, 0.114287465
52,612, 0.298048492
6,1753, 0.503850527
14,1362, 0.532
56,389, 0.4555
51,388, 0.9676
41,1101, 0.120255446
31,864, 0.26661473
56,428, 0.6105
27,470, 0.504347826
55,1862, 0.112824533
12,1814, 0.5075
60,576, 0.466899131
3,1452, 0.133785006
24,1519, 0.074387295
6,1764, 0.5
50,1117, 0.2
59,1694, 0.292291221
57,696, 0.07363071
49,1315, 0.829847925
64,1682, 0.2098
42,1138, 0.5
30,825, 0.287072903
39,695, 0.138767085
44,1532, 0.396291764
60,1577, 0.967758237
66,1109, 0.195980927
48,1293, 0.724897874
12,1352, 0.504
45,1214, 0.25
69,1641, 0.5
14,117, 0.9755
5,842, 0.217400424
12,445, 0.9365
13,406, 0.987577007
34,768, 0.495421844
22,667, 0.479673523
31,818, 0.25
58,1602, 0.910714286
44,1613, 0.505751639
16,609, 0.327369992
56,321, 0.4975
9,1365, 0.454903719
5,815, 0.258582273
21,621, 0.531260986
22,663, 0.482957968
64,1680, 0.357933333
2,288, 0.2
13,1274, 0.5
60,1580, 0.957069941
38,249, 0.5
39,1518, 0.113488109
8,773, 0.16010101
6,538, 0.5
5,837, 0.245923073
27,403, 0.5
27,409, 0.5
28,777, 0.849315743
34,455, 0.452256377
22,352, 0.372346183
11,230, 0.499995854
18,532, 0.479651851
40,1091, 0.125
9,1352, 0.49945714
22,537, 0.5
66,1221, 0.236578426
65,1708, 0.5
51,392, 0.976
0,719, 0.539114441
12,391, 0.5945
20,1591, 0.559253083
36,985, 0.734305924
60,1592, 0.879244997
66,1211, 0.257844417
14,1036, 0.4905
21,620, 0.768298511
18,233, 0.508936948
50,1108, 0.2
68,1314, 0.30452593
40,1088, 0.125757576
12,1632, 0.5835
2,790, 0.205777447
56,106, 0.4765
25,1776, 0.319466667
68,1321, 0.384838124
68,77, 0.367780031
7,433, 0.5
39,1503, 0.125
52,1380, 0.999605756
21,497, 0.333333333
34,922, 0.499672989
6,657, 0.510783287
58,1175, 0.942857143
39,1508, 0.111576736
2,287, 0.197587265
3,1257, 0.137781212
69,248, 0.5
68,95, 0.31718358
40,1074, 0.12849213
3,1467, 0.131091143
34,185, 0.500327011
43,909, 0.171933763
20,950, 0.63844249
63,1508, 0.044961696
13,410, 0.883201735
56,309, 0.4915
18,640, 0.5157301
5,838, 0.25
14,304, 0.6
56,1643, 0.5
49,706, 0.427777778
23,229, 0.498575499
69,1809, 0.529034358
34,935, 0.501962067
45,1740, 0.263139994
57,1651, 0.069992415
64,1679, 0.387466667
49,76, 0.854166667
49,1775, 0.502777778
57,678, 0.11885703
20,589, 0.5
31,861, 0.313797132
18,534, 0.5
38,1806, 0.498333333
3,1460, 0.140074925
14,1496, 0.5
3,909, 0.232234691
40,1690, 0.111866504
28,126, 0.192909869
48,411, 0.5
56,304, 0.378
3,1466, 0.148731963
21,508, 0.333333333
14,375, 0.989
11,652, 0.372014925
34,406, 0.548397646
16,491, 0.333333333
9,388, 0.519504089
51,1039, 0.4098
14,301, 0.523
66,1098, 0.062694622
40,1414, 0.125
9,316, 0.5
27,924, 0.52173913
9,385, 0.522512709
71,164, 0.163878679
71,1463, 0.152388914
48,753, 0.49099036
30,864, 0.259279623
14,437, 0.518
54,1836, 0.228664817
29,858, 0.250097724
16,610, 0.343192765
51,1367, 0.516
13,455, 0.460008677
45,1345, 0.29907086
60,1575, 0.975237518
44,1597, 0.5
30,845, 0.589894102
40,1560, 0.124098888
56,440, 0.595
18,658, 0.499590164
14,107, 0.9895
52,517, 0.333333333
49,94, 0.736111111
55,1455, 0.925213791
36,1845, 0.140651636
2,141, 0.2
16,1385, 0.402791511
43,1255, 0.178863933
21,1384, 0.351791572
25,74, 0.269466667
51,247, 0.5
4,1291, 0.482133421
33,1268, 0.151679514
7,315, 0.3965
11,533, 0.5
60,583, 0.5
7,1356, 0.489
59,1689, 0.130620985
58,1601, 0.546428571
48,938, 0.485269654
30,839, 0.25
13,941, 0.5
11,351, 0.469676617
21,521, 0.333333333
29,822, 0.307028603
18,530, 0.554516647
33,1265, 0.140217311
56,1624, 0.516
22,641, 0.53486529
42,1698, 0.489269256
34,755, 0.392413342
11,232, 0.499166667
23,366, 0.5
3,1252, 0.144050714
68,92, 0.372298762
7,1820, 0.5645
7,1816, 0.5215
22,658, 0.5
53,1074, 0.337535674
12,1046, 0.4295
7,1640, 0.405
22,631, 0.968481277
40,1397, 0.125569476
46,346, 0.566632757
22,361, 0.490035127
16,613, 0.760650262
42,1130, 0.562936142
56,1493, 0.5195
30,830, 0.277060512
33,905, 0.367975762
16,604, 0.456471239
