model,dataset,predict_balance_accuracy,groundtruth_balance_accuracy
97,1,0.556521739,0.672733762
98,1,0.524136313,0.748037116
99,1,0.269466667,0.755531763
100,1,0.525305816,0.995360457
101,1,0.31652485,0.994289793
102,1,0.338333333,0.98965025
103,1,0.449570852,0.996074233
104,1,0.25993441,0.998572448
105,1,0.21913956,0.996788009
106,1,0.4765,0.995003569
107,1,0.4765,0.995003569
108,1,0.4094,0.564239829
109,1,0.461,0.584939329
110,1,0.493070536,0.756245539
111,1,0.960384246,0.727337616
112,1,0.5,0.593147752
113,1,0.5,0.992862241
114,1,0.495082276,0.559957173
115,1,0.509991029,0.987508922
116,1,0.16984507,0.575660243
117,1,0.445943996,0.982869379
118,1,0.541304348,0.578158458
119,1,0.736111111,0.975374732
120,1,0.15092421,0.980728051
121,1,0.5,0.584582441
247,1,0.497782154,0.499286224
248,1,0.46,0.5
249,1,0.31204447,0.499643112
250,1,0.496,0.41184868
251,1,0.31652485,0.514989293
252,1,0.483927407,0.44468237
253,1,0.7045,0.447537473
254,1,0.25993441,0.553890079
255,1,0.21913956,0.546395432
256,1,0.47830503,0.526766595
257,1,0.5,0.44111349
258,1,0.449866287,0.5
259,1,0.4915,0.5
260,1,0.411496199,0.5
261,1,0.226038498,0.5
262,1,0.5,0.500713776
263,1,0.500074358,0.5
264,1,0.4145,0.5
265,1,0.5,0.499643112
266,1,0.490486365,0.504282655
267,1,0.5,0.500713776
268,1,0.5,0.493219129
269,1,0.4965,0.151677373
270,1,0.625721375,0.066738044
271,1,0.4975,0.5
297,1,0.523504274,0.506067095
298,1,0.46,0.502855103
299,1,0.498321123,0.502141328
300,1,0.496,0.504639543
301,1,0.3655,0.517844397
302,1,0.372346183,0.520342612
303,1,0.322990844,0.461099215
304,1,0.378,0.575303355
305,1,0.490459289,0.620985011
306,1,0.447649573,0.387937188
307,1,0.434106842,0.428265525
308,1,0.5,0.5
309,1,0.4915,0.454675232
310,1,0.5,0.480014276
311,1,0.490035127,0.501427552
312,1,0.5,0.509279086
313,1,0.505566003,0.5
314,1,0.4145,0.57958601
315,1,0.5,0.413276231
316,1,0.5,0.5
317,1,0.5,0.5
318,1,0.5,0.529978587
319,1,0.499533147,0.453961456
320,1,0.625721375,0.429693076
321,1,0.566632757,0.510706638
372,1,0.5,0.799428979
373,1,0.4815,0.762312634
374,1,0.5,0.807280514
375,1,0.616503867,0.996074233
376,1,0.500478164,0.996788009
377,1,0.372346183,0.990720914
378,1,0.5,0.99821556
379,1,0.991407809,0.998929336
380,1,0.4945,0.996431121
381,1,0.501,0.994646681
382,1,0.434106842,0.997144897
383,1,0.456287507,0.536759458
384,1,0.5,0.658815132
385,1,0.500047086,0.813704497
386,1,0.490035127,0.76302641
387,1,0.5,0.625624554
388,1,0.505566003,0.974304069
389,1,0.4555,0.630264097
390,1,0.5,0.992148465
391,1,0.5,0.606709493
392,1,0.5,0.991791577
393,1,0.478,0.606352605
394,1,0.499533147,0.990007138
395,1,0.9365,0.989293362
396,1,0.566632757,0.706995004
422,1,0.5,0.5
423,1,0.4815,0.518915061
424,1,0.5,0.563169165
425,1,0.4292438,0.284796574
426,1,0.500478164,0.459314775
427,1,0.5,0.518558173
428,1,0.5,0.507137759
429,1,0.991407809,0.574232691
430,1,0.4945,0.513204854
431,1,0.499881263,0.476445396
432,1,0.51568656,0.349036403
433,1,0.5,0.5
434,1,0.5,0.526052819
435,1,0.500047086,0.517130621
436,1,0.5,0.528194147
437,1,0.5,0.502141328
438,1,0.5455,0.525695931
439,1,0.532608696,0.5
440,1,0.5,0.267309065
441,1,0.5,0.5
442,1,0.541304348,0.5
443,1,0.463043478,0.528551035
444,1,0.5,0.895788722
445,1,0.504347826,0.937901499
446,1,0.449,0.520342612
1022,1,0.101574901,0.481798715
1023,1,0.566801911,0.48786581
1024,1,0.12849213,0.452177016
1025,1,0.107137884,0.394361171
1026,1,0.430579476,0.414346895
1027,1,0.485866072,0.431120628
1028,1,0.380266667,0.307637402
1029,1,0.225876252,0.374018558
1030,1,0.19673218,0.653818701
1031,1,0.075930838,0.501070664
1032,1,0.585,0.459671663
1033,1,0.5,0.5
1034,1,0.154793736,0.444325482
1035,1,0.3316,0.483940043
1036,1,0.337866667,0.513204854
1037,1,0.1392396,0.427551749
1038,1,0.125757576,0.461099215
1039,1,0.3318,0.41862955
1040,1,0.103180921,0.488579586
1041,1,0.125,0.467880086
1042,1,0.341466667,0.496431121
1043,1,0.286466667,0.438972163
1044,1,0.50273625,0.484296931
1045,1,0.125,0.46538187
1046,1,0.484784236,0.44111349
1347,1,0.125569476,0.500356888
1348,1,0.501666667,0.500713776
1349,1,0.343066667,0.578515346
1350,1,0.189554455,0.488222698
1351,1,0.444119258,0.417915774
1352,1,0.49945714,0.503568879
1353,1,0.446866667,0.429693076
1354,1,0.127789781,0.56923626
1355,1,0.131982968,0.45503212
1356,1,0.540052927,0.502498216
1357,1,0.212,0.526766595
1358,1,0.5,0.5
1359,1,0.2,0.500713776
1360,1,0.3414,0.529978587
1361,1,0.387133333,0.500713776
1362,1,0.5,0.517130621
1363,1,0.175787464,0.462883655
1364,1,0.125,0.496431121
1365,1,0.4545,0.248037116
1366,1,0.125,0.498572448
1367,1,0.312294032,0.513204854
1368,1,0.300939905,0.505353319
1369,1,0.293533333,0.913276231
1370,1,0.352666667,0.947180585
1371,1,0.314834535,0.551034975
1472,1,0.544,0.518201285
1473,1,0.474,0.481441827
1474,1,0.599609734,0.519628837
1475,1,0.081,0.490720914
1476,1,0.676178443,0.493576017
1477,1,0.133785006,0.631334761
1478,1,0.475447332,0.575303355
1479,1,0.09333252,0.476802284
1480,1,0.132061722,0.618843683
1481,1,0.19354073,0.589578872
1482,1,0.396291764,0.516773733
1483,1,0.5,0.5
1484,1,0.5,0.5
1485,1,0.140074925,0.505710207
1486,1,0.783090104,0.47751606
1487,1,0.184937211,0.503211991
1488,1,0.5,0.495003569
1489,1,0.103347221,0.5
1490,1,0.5,0.5
1491,1,0.148731963,0.5
1492,1,0.501521179,0.5
1493,1,0.5195,0.480728051
1494,1,0.466205539,0.592790864
1495,1,0.070951367,0.514989293
1496,1,0.5,0.5
1622,1,0.5,0.508208423
1623,1,0.111185335,0.507851535
1624,1,0.516,0.568522484
1625,1,0.322466667,0.481084939
1626,1,0.505020136,0.538900785
1627,1,0.910714286,0.736259814
1628,1,0.114920884,0.311206281
1629,1,0.387466667,0.537830121
1630,1,0.357933333,0.521770164
1631,1,0.546,0.505710207
1632,1,0.2098,0.568879372
1633,1,0.5,0.5
1634,1,0.496021531,0.530692363
1635,1,0.507896399,0.562098501
1636,1,0.071377587,0.51391863
1637,1,0.3606,0.5
1638,1,0.505751639,0.535331906
1639,1,0.5,0.480371163
1640,1,0.558,0.398286938
1641,1,0.5,0.5
1642,1,0.5,0.501427552
1643,1,0.5,0.5
1644,1,0.778571429,0.86509636
1645,1,0.505031594,0.947894361
1646,1,0.336,0.539614561
1797,1,0.481672239,0.433261956
1798,1,0.245066667,0.496074233
1799,1,0.301098074,0.457530335
1800,1,0.443098947,0.463954318
1801,1,0.276005871,0.61598858
1802,1,0.23414392,0.626695218
1803,1,0.486285933,0.628479657
1804,1,0.295833333,0.560670949
1805,1,0.663410663,0.512491078
1806,1,0.189565402,0.369735903
1807,1,0.148952512,0.457530335
1808,1,0.143064375,0.523911492
1809,1,0.528083028,0.473947181
1810,1,0.509621607,0.496431121
1811,1,0.5,0.496788009
1812,1,0.125,0.521770164
1813,1,0.144654169,0.496788009
1814,1,0.5,0.492862241
1815,1,0.6845,0.548536759
1816,1,0.142857143,0.526052819
1817,1,0.6385,0.634189864
1818,1,0.5,0.5
1819,1,0.133341967,0.521770164
1820,1,0.144217725,0.533904354
1821,1,0.140704648,0.526766595
322,10,0.210262112,0.557985758
323,10,0.499718151,0.679043744
324,10,0.498321123,0.689725331
325,10,0.501036807,0.498982706
326,10,0.46572104,0.523397762
327,10,0.920651068,0.920651068
328,10,0.322990844,0.322990844
329,10,0.459034737,0.309257375
330,10,0.490459289,0.476093591
331,10,0.193459416,0.553407935
332,10,0.434106842,0.486266531
333,10,0.5,0.486775178
334,10,0.50534188,0.500508647
335,10,0.522512709,0.517802645
336,10,0.54069176,0.54069176
337,10,0.927178565,0.501017294
338,10,0.519504089,0.500508647
339,10,0.501972943,0.5
340,10,0.488134206,0.508138352
341,10,0.5,0.5
342,10,0.5,0.534587996
343,10,0.180017834,0.503051882
344,10,0.19369992,0.845879959
345,10,0.625721375,0.856561546
346,10,0.566632757,0.566632757
722,10,0.0895,0.623092574
723,10,0.329042352,0.682095626
724,10,0.114693881,0.695320448
725,10,0.236018076,0.746185148
726,10,0.684638861,0.684638861
727,10,0.849315743,0.757884028
728,10,0.268055556,0.707527976
729,10,,0.789928789
730,10,0.336185107,0.81180061
731,10,0.427777778,0.739572737
732,10,0.1,0.871312309
733,10,0.2,0.538148525
734,10,0.630722279,0.630722279
735,10,0.589521872,0.589013225
736,10,0.854769049,0.606307223
737,10,0.114287465,0.589013225
738,10,0.125,0.723296033
739,10,0.671922686,0.671922686
740,10,0.833672431,0.833672431
741,10,0.519837233,0.519837233
742,10,0.162308242,0.756358087
743,10,0.630722279,0.630722279
744,10,0.092371313,0.681078332
745,10,0.138767085,0.745676501
746,10,0.298611111,0.626653103
1222,10,0.519795402,0.490844354
1223,10,0.631230926,0.631230926
1224,10,0.139318889,0.567141404
1225,10,0.942857143,0.510681587
1226,10,0.994419378,0.506612411
1227,10,0.144050714,0.950661241
1228,10,0.98965587,0.424720244
1229,10,0.192761953,0.550356053
1230,10,0.178863933,0.568667345
1231,10,0.733468973,0.733468973
1232,10,0.920739182,0.686673449
1233,10,0.5,0.5
1234,10,,0.498982706
1235,10,0.477110885,0.477110885
1236,10,0.257844417,0.496439471
1237,10,0.184937211,0.508646999
1238,10,0.25,0.5
1239,10,0.583280782,0.5
1240,10,0.2,0.5
1241,10,0.25,0.5
1242,10,0.501525941,0.501525941
1243,10,0.724897874,0.5
1244,10,0.886396029,0.837741607
1245,10,0.8867093,0.856052899
1246,10,0.821860139,0.587995931
172,15,0.556521739,0.408794788
173,15,0.505779436,0.457654723
174,15,0.196665605,0.382736156
175,15,0.105820106,0.5
176,15,0.192909869,0.5
177,15,0.998915153,0.5
178,15,0.449570852,0.5
179,15,0.998929336,0.5
180,15,0.997759392,0.5
181,15,0.4793983,0.503257329
182,15,0.5,0.5
183,15,0.449866287,0.368078176
184,15,0.922296906,0.350162866
185,15,0.278455798,0.530944625
186,15,0.592959363,0.501628664
187,15,0.501017294,0.364820847
188,15,0.500074358,0.741042345
189,15,0.956395194,0.519543974
190,15,0.484713537,0.664495114
191,15,0.16984507,0.294788274
192,15,0.445943996,0.747557003
193,15,0.541304348,0.40228013
194,15,,0.374592834
195,15,0.18927136,0.30781759
196,15,0.958885665,0.496742671
397,15,0.523504274,0.5
398,15,0.4815,0.687296417
399,15,0.498321123,0.5
400,15,0.527492945,0.5
401,15,0.50948949,0.5
402,15,0.372346183,0.5
403,15,0.6105,0.5
404,15,0.459034737,0.5
405,15,0.4945,0.5
406,15,0.501,0.5
407,15,0.434106842,0.5
408,15,0.5,0.408794788
409,15,0.5,0.5
410,15,0.49772237,0.5
411,15,0.490035127,0.5
412,15,0.497826087,0.638436482
413,15,0.505566003,0.591205212
414,15,0.4555,0.557003257
415,15,0.5,0.5
416,15,0.5,0.470684039
417,15,0.5,0.5
418,15,0.478,0.618892508
419,15,0.499533147,0.5
420,15,0.504347826,0.48534202
421,15,0.449,0.473941368
447,15,0.5,0.931596091
448,15,0.4815,0.95276873
449,15,0.5,0.964169381
450,15,0.577501635,0.5
451,15,0.500478164,0.5
452,15,0.5,0.5
453,15,0.6105,0.5
454,15,0.991407809,0.5
455,15,0.452256377,0.688925081
456,15,0.501,0.5
457,15,0.335840419,0.5
458,15,0.5,0.938110749
459,15,0.5,0.956026059
460,15,0.49772237,0.949511401
461,15,0.5,0.947882736
462,15,0.5,0.942996743
463,15,0.5455,0.7752443
464,15,0.532608696,0.929967427
465,15,0.595,0.776872964
466,15,0.5,0.970684039
467,15,0.5,0.794788274
468,15,0.478,0.938110749
469,15,0.5,0.928338762
470,15,0.504347826,0.908794788
471,15,0.449,0.95276873
747,15,0.322444369,0.519543974
748,15,0.329042352,0.498371336
749,15,0.806521739,0.513029316
750,15,0.236018076,0.5
751,15,0.684638861,0.5
752,15,0.849315743,0.5
753,15,0.268055556,0.5
754,15,0.246366402,0.5
755,15,0.38585517,0.535830619
756,15,0.427777778,0.465798046
757,15,0.311333333,0.5
758,15,0.656521739,0.589576547
759,15,0.630722279,0.543973941
760,15,0.589521872,0.553745928
761,15,0.316587348,0.589576547
762,15,0.5,0.615635179
763,15,0.216850943,0.664495114
764,15,0.671922686,0.529315961
765,15,0.833672431,0.625407166
766,15,0.519837233,0.558631922
767,15,0.506970781,0.600977199
768,15,0.630722279,0.615635179
769,15,0.539114441,0.465798046
770,15,0.332962706,0.504885993
771,15,0.298611111,0.53257329
922,15,0.272383236,0.728013029
923,15,,0.63029316
924,15,0.52173913,0.672638436
925,15,0.5,0.5
926,15,0.564028704,0.5
927,15,0.608247423,0.498371336
928,15,0.240720033,0.486970684
929,15,0.225876252,0.5
930,15,0.155266955,0.486970684
931,15,0.06984127,0.40228013
932,15,0.29677177,0.5
933,15,0.171011949,0.503257329
934,15,0.232234691,0.509771987
935,15,0.501962067,0.700325733
936,15,0.246183795,0.762214984
937,15,0.184937211,0.527687296
938,15,0.485269654,0.231270358
939,15,0.2,0.524429967
940,15,0.500981033,0.288273616
941,15,0.5,0.667752443
942,15,0.510675927,0.276872964
943,15,0.100684791,0.693811075
944,15,0.058521406,0.622149837
945,15,0.022403183,0.672638436
946,15,0.21722218,0.522801303
1272,15,0.502173913,0.53257329
1273,15,0.142790155,0.509771987
1274,15,0.139318889,0.314332248
1275,15,0.189554455,0.5
1276,15,0.861002781,0.5
1277,15,0.144050714,0.5
1278,15,0.5,0.5
1279,15,0.133843614,0.5
1280,15,0.178863933,0.5
1281,15,0.733468973,0.5
1282,15,0.137781212,0.5
1283,15,0.5,0.5
1284,15,0.2,0.578175896
1285,15,0.477110885,0.407166124
1286,15,0.164039908,0.498371336
1287,15,0.225859248,0.5
1288,15,0.5,0.5
1289,15,0.5,0.5
1290,15,0.829847925,0.5
1291,15,0.5,0.469055375
1292,15,0.501525941,0.486970684
1293,15,0.236263132,0.5
1294,15,0.298463884,0.5
1295,15,0.195466897,0.5
1296,15,0.384838124,0.5
472,17,0.333333333,0.333333333
473,17,0.333333333,0.333333333
474,17,0.333333333,0.333333333
475,17,0.33383462,0.333333333
476,17,0.333333333,0.364453665
477,17,0.557624013,0.333333333
478,17,0.336964652,0.350276625
479,17,0.609015786,0.415629322
480,17,0.337591114,0.335408022
481,17,0.333333333,0.286652835
482,17,0.333333333,0.335408022
483,17,0.333333333,0.336099585
484,17,0.294863101,0.381396957
485,17,0.5175,0.333333333
486,17,0.333333333,0.328838174
487,17,0.114287465,0.346818811
488,17,0.333333333,0.333333333
489,17,0.330935287,0.333333333
490,17,0.333333333,0.38208852
491,17,0.333333333,0.333333333
492,17,0.333333333,0.333333333
493,17,0.333333333,0.333333333
494,17,0.5,0.553250346
495,17,0.5,0.336099585
496,17,0.333333333,0.333333333
497,17,0.333333333,0.333333333
498,17,0.333333333,0.333333333
499,17,0.333333333,0.333333333
500,17,0.33383462,0.333333333
501,17,0.333333333,0.333333333
502,17,0.333333333,0.334370678
503,17,0.336964652,0.333333333
504,17,0.797051823,0.333333333
505,17,0.339746082,0.333333333
506,17,0.333333333,0.333333333
507,17,0.333333333,0.333333333
508,17,0.333333333,0.333333333
509,17,0.294863101,0.333333333
510,17,0.503306878,0.333333333
511,17,0.333333333,0.333333333
512,17,0.5,0.333333333
513,17,0.333333333,0.333333333
514,17,0.333333333,0.333333333
515,17,0.333333333,0.333333333
516,17,0.333333333,0.333333333
517,17,0.333333333,0.333333333
518,17,0.333333333,0.333333333
519,17,0.5,0.333333333
520,17,0.5,0.333333333
521,17,0.333333333,0.333333333
597,17,0.333333333,0.333333333
598,17,0.355410999,0.352697095
599,17,0.957425511,0.371715076
600,17,0.503974366,0.677385892
601,17,0.591622187,0.502074689
602,17,0.907440292,0.699515906
603,17,0.385570668,0.39626556
604,17,0.456471239,0.382434302
605,17,0.818850885,0.333333333
606,17,0.723410871,0.333333333
607,17,0.510783287,0.352005533
608,17,0.353968696,0.30428769
609,17,0.327369992,0.31120332
610,17,0.343192765,0.384163209
611,17,0.436252954,0.338520055
612,17,0.223618409,0.298063624
613,17,0.760650262,0.491701245
614,17,0.287149741,0.321922545
615,17,0.5157301,0.421161826
616,17,0.333333333,0.389004149
617,17,0.479673523,0.335062241
618,17,0.502340252,0.326071923
619,17,0.486993854,0.64626556
620,17,0.768298511,0.522475795
621,17,0.531260986,0.25242047
1372,17,0.125569476,0.93153527
1373,17,0.501666667,0.782157676
1374,17,0.11257044,0.934301521
1375,17,0.189554455,0.970954357
1376,17,0.444119258,0.978907331
1377,17,0.715837311,0.995504841
1378,17,0.584404051,0.977178423
1379,17,0.127789781,0.968188105
1380,17,0.399460959,0.973720609
1381,17,0.581414141,0.978907331
1382,17,0.679774652,0.97406639
1383,17,0.25,0.425311203
1384,17,0.331987175,0.925311203
1385,17,0.402791511,0.98824343
1386,17,0.509,0.991355463
1387,17,0.184937211,0.926694329
1388,17,0.175787464,0.967150761
1389,17,0.334906694,0.482019364
1390,17,0.454903719,0.976141079
1391,17,0.125,0.344052559
1392,17,0.418684919,0.971991701
1393,17,0.262458278,0.645919779
1394,17,0.334690387,0.980636238
1395,17,0.46649563,0.983056708
1396,17,0.391094066,0.883471646
122,32,0.5,0.892595575
123,32,0.358772379,0.864970241
124,32,0.135858586,0.911541295
125,32,0.525305816,0.2
126,32,0.192909869,0.2
127,32,0.338333333,0.2
128,32,0.138867884,0.208291765
129,32,0.537442516,0.2
130,32,0.142167313,0.252362144
131,32,0.225157619,0.229504234
132,32,0.4765,0.20104712
133,32,0.440277778,0.854767854
134,32,0.454166667,0.848400542
135,32,0.493070536,0.88732791
136,32,0.592959363,0.90388069
137,32,0.5,0.873604317
138,32,0.5,0.412865199
139,32,0.495082276,0.881458987
140,32,0.509991029,0.379180971
141,32,0.2,0.884183164
142,32,0.5,0.330249726
143,32,0.216261187,0.898462597
144,32,0.736111111,0.770258367
145,32,0.15092421,0.738534281
146,32,0.501388889,0.878776262
272,32,0.210262112,0.183658713
273,32,0.045424837,0.18115996
274,32,0.515008309,0.18976886
275,32,0.501036807,0.200609756
276,32,0.46572104,0.2
277,32,0.183407185,0.2
278,32,0.50754674,0.2
279,32,0.998929336,0.2
280,32,0.997759392,0.2
281,32,0.193459416,0.199991996
282,32,0.185401148,0.2
283,32,0.2,0.132291447
284,32,0.922296906,0.170972914
285,32,0.17239298,0.145098579
286,32,0.226038498,0.176705677
287,32,0.927178565,0.196493196
288,32,0.2,0.202079068
289,32,0.956395194,0.127619189
290,32,0.5,0.202216606
291,32,0.5,0.124007148
292,32,0.2,0.201287544
293,32,0.180017834,0.20333063
294,32,0.19369992,0.199597498
295,32,0.625721375,0.196833902
296,32,0.958885665,0.181890784
772,32,0.307028603,0.853900474
773,32,0.329042352,0.894472147
774,32,0.306231138,0.879860107
775,32,0.236018076,0.2
776,32,0.168228972,0.2
777,32,0.849315743,0.2
778,32,0.49099036,0.202432641
779,32,0.246366402,0.2
780,32,0.336185107,0.2
781,32,0.517850852,0.227119713
782,32,0.297385165,0.2
783,32,0.2,0.842209507
784,32,0.554149321,0.840659918
785,32,0.380222614,0.85524705
786,32,0.854769049,0.867161508
787,32,0.223618409,0.835792028
788,32,0.216850943,0.32105343
789,32,0.199590164,0.861593845
790,32,0.205777447,0.355550619
791,32,0.144281211,0.836228999
792,32,0.117676768,0.280476455
793,32,0.630722279,0.873608508
794,32,0.558806654,0.689401976
795,32,0.086868687,0.678070346
796,32,0.512,0.852066461
872,32,0.5,0.88841991
873,32,,0.900705039
874,32,0.52173913,0.911984229
875,32,0.266799377,0.2
876,32,0.295942982,0.2
877,32,0.243566596,0.2
878,32,0.52034227,0.214385917
879,32,0.226364765,0.2
880,32,0.155266955,0.2
881,32,0.06984127,0.2592602
882,32,0.29677177,0.2
883,32,0.171011949,0.889212393
884,32,0.171933763,0.862720077
885,32,0.5,0.923342441
886,32,0.234141263,0.902065822
887,32,0.223618409,0.849965626
888,32,0.485269654,0.378219362
889,32,0.2,0.926168092
890,32,0.498809524,0.359788392
891,32,0.5,0.892886681
892,32,0.510675927,0.390309695
893,32,0.100684791,0.905209009
894,32,0.096608947,0.753996183
895,32,0.242577774,0.738446402
896,32,0.21722218,0.903441531
572,35,0.533948792,0.422439024
573,35,0.669243986,0.686829268
574,35,0.957425511,0.518292683
575,35,0.503974366,0.475609756
576,35,0.466899131,0.41195122
577,35,0.512380715,0.987804878
578,35,0.641117896,0.648536585
579,35,0.797051823,0.365365854
580,35,0.56998025,0.584878049
581,35,0.44410754,0.450487805
582,35,0.505563951,0.684878049
583,35,0.5,0.5
584,35,0.5,0.5
585,35,0.94039995,0.550243902
586,35,0.436252954,0.550243902
587,35,0.5,0.510731707
588,35,0.882309823,0.388780488
589,35,0.5,0.5
590,35,0.699440421,0.469512195
591,35,0.500032916,0.5
592,35,0.255354224,0.520731707
593,35,0.5,0.565121951
594,35,0.711845563,0.713902439
595,35,0.497070441,0.747804878
596,35,0.500281849,0.512195122
947,35,0.272383236,0.442926829
948,35,0.25,0.603658537
949,35,0.243186442,0.518292683
950,35,0.63844249,0.650731707
951,35,0.564028704,0.639756098
952,35,0.608247423,0.66
953,35,0.0145084,0.472682927
954,35,0.5029431,0.598536585
955,35,0.479494559,0.479756098
956,35,0.260479516,0.720731707
957,35,0.247183466,0.489512195
958,35,0.25,0.52
959,35,0.232234691,0.559756098
960,35,0.561173438,0.557317073
961,35,0.246183795,0.543658537
962,35,0.460935921,0.399756098
963,35,0.25,0.547560976
964,35,0.25,0.5
965,35,0.25,0.493902439
966,35,0.5,0.5
967,35,0.5,0.5
968,35,0.5,0.52
969,35,0.304483968,0.5
970,35,0.022403183,0.5
971,35,0.21722218,0.506097561
1572,35,0.663129169,0.754390244
1573,35,,0.795365854
1574,35,0.516,0.85804878
1575,35,0.975237518,0.975609756
1576,35,0.546428571,0.981707317
1577,35,0.967758237,0.969512195
1578,35,0.97743582,0.981707317
1579,35,0.545255124,0.981707317
1580,35,0.957069941,0.955609756
1581,35,0.955124318,0.961707317
1582,35,0.960026279,0.937317073
1583,35,0.5,0.5
1584,35,0.496021531,0.665853659
1585,35,0.562542364,0.737317073
1586,35,0.4819,0.696097561
1587,35,0.225859248,0.546829268
1588,35,0.419146287,0.955609756
1589,35,0.514104333,0.506097561
1590,35,0.558,0.963414634
1591,35,0.559253083,0.594146341
1592,35,0.879244997,0.847804878
1593,35,0.5,0.583414634
1594,35,0.887734991,0.935609756
1595,35,0.505031594,0.955609756
1596,35,0.492,0.622439024
147,47,0.5,0.18621695
148,47,0.524136313,0.198287566
149,47,0.196665605,0.196665605
150,47,0.105820106,0.12695989
151,47,0.192909869,0.075954505
152,47,0.338333333,0.157023719
153,47,0.138867884,0.156904588
154,47,0.537442516,0.188011978
155,47,0.142167313,0.106116985
156,47,0.225157619,0.134447803
157,47,0.4765,0.307924978
158,47,0.171876927,0.164898774
159,47,0.166666667,0.162498732
160,47,0.493070536,0.140288682
161,47,0.592959363,0.182632621
162,47,0.5,0.17658516
163,47,0.501105278,0.156510569
164,47,0.495082276,0.170712322
165,47,0.509991029,0.166136858
166,47,0.2,0.145882511
167,47,0.5,0.149152606
168,47,0.223183451,0.119875776
169,47,0.478333333,0.177856075
170,47,0.15092421,0.15092421
171,47,0.204505061,0.145331413
897,47,0.091269841,0.188530174
898,47,,0.153341014
899,47,0.52173913,0.175579612
900,47,0.279083903,0.228318426
901,47,0.295942982,0.090711528
902,47,0.608247423,0.188587833
903,47,0.240720033,0.201507684
904,47,0.226364765,0.201555966
905,47,0.155266955,0.131294489
906,47,0.06984127,0.110465678
907,47,0.29677177,0.29677177
908,47,0.171011949,0.171011949
909,47,0.171933763,0.134697737
910,47,0.501962067,0.160107473
911,47,0.234141263,0.161100672
912,47,0.223618409,0.225286966
913,47,0.485269654,0.211812872
914,47,0.2,0.179796392
915,47,0.500981033,0.175772489
916,47,0.5,0.152687513
917,47,0.510675927,0.107152564
918,47,0.100684791,0.100684791
919,47,0.058521406,0.058521406
920,47,0.393292123,0.19685389
921,47,0.21722218,0.13924485
1147,47,,0.23299862
1148,47,0.062694622,0.212355737
1149,47,0.1956,0.19865736
1150,47,0.461035284,0.220780689
1151,47,0.165916418,0.253430098
1152,47,0.167784158,0.206106474
1153,47,0.470917842,0.143974683
1154,47,0.219,0.143840185
1155,47,0.221431273,0.221431273
1156,47,0.878571429,0.106078393
1157,47,0.218275248,0.17603806
1158,47,0.2,0.166835816
1159,47,0.195980927,0.166999023
1160,47,0.50048853,0.233902742
1161,47,0.214213861,0.167029955
1162,47,0.184937211,0.189277651
1163,47,0.205666543,0.222433438
1164,47,0.5,0.164520483
1165,47,0.219891479,0.322511751
1166,47,0.793886868,0.166666667
1167,47,0.204252736,0.204252736
1168,47,0.511122998,0.105150037
1169,47,0.547914852,0.266362973
1170,47,0.49164888,0.265057801
1171,47,0.487395152,0.166871609
1247,47,0.508175278,0.759410782
1248,47,0.631230926,0.79214292
1249,47,0.555078196,0.787609232
1250,47,0.343666667,0.921266906
1251,47,0.3488,0.927829745
1252,47,0.712129478,0.89705022
1253,47,0.587402255,0.924765213
1254,47,0.219,0.924779574
1255,47,0.178863933,0.923340641
1256,47,0.733468973,0.915783203
1257,47,0.920739182,0.920739182
1258,47,0.201374803,0.238325662
1259,47,0.336515333,0.539139716
1260,47,0.791529764,0.791529764
1261,47,0.214213861,0.782598203
1262,47,0.562785202,0.572262967
1263,47,0.199469485,0.918888928
1264,47,0.583280782,0.583280782
1265,47,0.829847925,0.91811476
1266,47,0.4762,0.535491168
1267,47,0.501525941,0.903237577
1268,47,0.236263132,0.667283508
1269,47,0.886396029,0.886396029
1270,47,0.8867093,0.8867093
1271,47,0.314834535,0.628559431
1447,47,0.742058117,0.742058117
1448,47,0.474,0.798913128
1449,47,0.782316019,0.782316019
1450,47,0.252340119,0.9238678
1451,47,0.6875,0.93104723
1452,47,0.251343555,0.907210613
1453,47,0.125,0.924842827
1454,47,0.127789781,0.927948794
1455,47,0.925213791,0.925213791
1456,47,0.19354073,0.915233212
1457,47,0.246244265,0.921393157
1458,47,0.111576736,0.193764257
