model,balanced_accuracy,groundtruth_balanced_accuracy,dataset
97,0.2526977985086558,0.672733762,1
98,0.2623202007049085,0.748037116,1
99,0.27326363730624176,0.755531763,1
100,0.344474089902112,0.995360457,1
101,0.33447335468373385,0.994289793,1
102,0.33659547489182473,0.98965025,1
103,0.3485039809758548,0.996074233,1
104,0.3476121636487698,0.998572448,1
105,0.348243496874894,0.996788009,1
106,0.34689806403383244,0.995003569,1
107,0.3470016571737032,0.995003569,1
108,0.21284137860648955,0.564239829,1
109,0.2120790816935713,0.584939329,1
110,0.2627119152458804,0.756245539,1
111,0.26532154192940566,0.727337616,1
112,0.2157463797430171,0.593147752,1
113,0.33182118427034063,0.992862241,1
114,0.21338385532959778,0.559957173,1
115,0.33358757058885663,0.987508922,1
116,0.20603879176407122,0.575660243,1
117,0.3372427710766566,0.982869379,1
118,0.23089703327824576,0.578158458,1
119,0.33993673425845594,0.975374732,1
120,0.33651258988275057,0.980728051,1
121,0.22261078479294963,0.584582441,1
247,0.20131909797164624,0.499286224,1
248,0.20133502875441747,0.5,1
249,0.20131590244211797,0.499643112,1
250,0.17877924624849162,0.41184868,1
251,0.21664687123487103,0.514989293,1
252,0.18013467770577365,0.44468237,1
253,0.19070615627121143,0.447537473,1
254,0.21638241849050338,0.553890079,1
255,0.2078988055824705,0.546395432,1
256,0.21208901936689806,0.526766595,1
257,0.18635482772143702,0.44111349,1
258,0.20133502875441747,0.5,1
259,0.20133502875441747,0.5,1
260,0.20133502875441747,0.5,1
261,0.20133502875441747,0.5,1
262,0.20141800488532197,0.500713776,1
263,0.20133502875441747,0.5,1
264,0.20133502875441747,0.5,1
265,0.20133871643605056,0.499643112,1
266,0.2021461929953184,0.504282655,1
267,0.20158920838122482,0.500713776,1
268,0.1983428050484919,0.493219129,1
269,0.09806254566411451,0.151677373,1
270,0.07261761164723253,0.066738044,1
271,0.20133502875441747,0.5,1
297,0.20449064331270983,0.506067095,1
298,0.20752330621254242,0.502855103,1
299,0.20670260284564496,0.502141328,1
300,0.19598191997267142,0.504639543,1
301,0.22328508773143813,0.517844397,1
302,0.2060179243467894,0.520342612,1
303,0.17182140338023993,0.461099215,1
304,0.22638438064532287,0.575303355,1
305,0.22063483901693703,0.620985011,1
306,0.18778499649589006,0.387937188,1
307,0.16054143277712335,0.428265525,1
308,0.20133502875441747,0.5,1
309,0.18985905298083106,0.454675232,1
310,0.19837684002684922,0.480014276,1
311,0.20217915053017493,0.501427552,1
312,0.20112799493372946,0.509279086,1
313,0.20089092594467947,0.5,1
314,0.20584256554441271,0.57958601,1
315,0.17290214436697177,0.413276231,1
316,0.20133502875441747,0.5,1
317,0.20107859967125594,0.5,1
318,0.21021727723463052,0.529978587,1
319,0.2063850805153305,0.453961456,1
320,0.17651929720320111,0.429693076,1
321,0.2039390388163269,0.510706638,1
372,0.29223952512114637,0.799428979,1
373,0.26837289457951596,0.762312634,1
374,0.29055000703140793,0.807280514,1
375,0.3325697394645163,0.996074233,1
376,0.3331522942459638,0.996788009,1
377,0.34747896872914213,0.990720914,1
378,0.35162896719490033,0.99821556,1
379,0.3466367650875958,0.998929336,1
380,0.3493718432928347,0.996431121,1
381,0.3467106062858378,0.994646681,1
382,0.34677388397770514,0.997144897,1
383,0.212880652193962,0.536759458,1
384,0.2302676531334435,0.658815132,1
385,0.28645076853239904,0.813704497,1
386,0.2780771978267118,0.76302641,1
387,0.22475005935911177,0.625624554,1
388,0.3365835226815831,0.974304069,1
389,0.22920862383050725,0.630264097,1
390,0.3321278215861932,0.992148465,1
391,0.22909858555214307,0.606709493,1
392,0.3343550995707504,0.991791577,1
393,0.2277066805596506,0.606352605,1
394,0.3287905701313645,0.990007138,1
395,0.3340963843718595,0.989293362,1
396,0.2417266792311453,0.706995004,1
422,0.2012915479706757,0.5,1
423,0.21375641007167653,0.518915061,1
424,0.2313535923821614,0.563169165,1
425,0.1383807135247752,0.284796574,1
426,0.1838572767209763,0.459314775,1
427,0.20418098300173343,0.518558173,1
428,0.2016093206534147,0.507137759,1
429,0.22575464654836072,0.574232691,1
430,0.21613123641304716,0.513204854,1
431,0.1930661761144556,0.476445396,1
432,0.16436318672265232,0.349036403,1
433,0.20133502875441747,0.5,1
434,0.20306549508842978,0.526052819,1
435,0.19737080023332135,0.517130621,1
436,0.21527847374374792,0.528194147,1
437,0.2161535637039036,0.502141328,1
438,0.18512070325010482,0.525695931,1
439,0.20133502875441747,0.5,1
440,0.1478643053198118,0.267309065,1
441,0.20133502875441747,0.5,1
442,0.20121225911557344,0.5,1
443,0.21284123283806386,0.528551035,1
444,0.3186031401904169,0.895788722,1
445,0.33096461998048876,0.937901499,1
446,0.20879593373461175,0.520342612,1
1022,0.21612020083877512,0.481798715,1
1023,0.21120068441141338,0.48786581,1
1024,0.202898931749342,0.452177016,1
1025,0.18698143434546424,0.394361171,1
1026,0.1957660193210818,0.414346895,1
1027,0.20325546508691592,0.431120628,1
1028,0.16292306680241325,0.307637402,1
1029,0.18738776969758245,0.374018558,1
1030,0.2716977146762014,0.653818701,1
1031,0.2240400797035508,0.501070664,1
1032,0.21614523281441184,0.459671663,1
1033,0.20133502875441747,0.5,1
1034,0.2009637764427649,0.444325482,1
1035,0.2189263294880511,0.483940043,1
1036,0.22250940438723896,0.513204854,1
1037,0.19968882738712762,0.427551749,1
1038,0.21781892323807148,0.461099215,1
1039,0.20067145946539644,0.41862955,1
1040,0.21913951327457815,0.488579586,1
1041,0.20789136637085354,0.467880086,1
1042,0.2223249230521009,0.496431121,1
1043,0.19668365081697345,0.438972163,1
1044,0.21937448347640637,0.484296931,1
1045,0.21439196684802178,0.46538187,1
1046,0.20225768933240756,0.44111349,1
1347,0.2013945554545727,0.500356888,1
1348,0.20247161191048774,0.500713776,1
1349,0.2311031150198346,0.578515346,1
1350,0.189845031974026,0.488222698,1
1351,0.1784529171009674,0.417915774,1
1352,0.2015378448701124,0.503568879,1
1353,0.17932780171449259,0.429693076,1
1354,0.22639009898529316,0.56923626,1
1355,0.19261496619370005,0.45503212,1
1356,0.20338909119316168,0.502498216,1
1357,0.1999999254673935,0.526766595,1
1358,0.20133502875441747,0.5,1
1359,0.20140029104220805,0.500713776,1
1360,0.19940645273370458,0.529978587,1
1361,0.20103396740775126,0.500713776,1
1362,0.21918659421954162,0.517130621,1
1363,0.1874702973851951,0.462883655,1
1364,0.20159320164274952,0.496431121,1
1365,0.13262313196842085,0.248037116,1
1366,0.21293824078402768,0.498572448,1
1367,0.2057416859015877,0.513204854,1
1368,0.20278664158011228,0.505353319,1
1369,0.32460120039971324,0.913276231,1
1370,0.3347927624626208,0.947180585,1
1371,0.21775222046911197,0.551034975,1
1472,0.21436323909583224,0.518201285,1
1473,0.19857028765971893,0.481441827,1
1474,0.2069041821985167,0.519628837,1
1475,0.20266764040325042,0.490720914,1
1476,0.19777904902885327,0.493576017,1
1477,0.24425717111236786,0.631334761,1
1478,0.22423711567488053,0.575303355,1
1479,0.1928102520205464,0.476802284,1
1480,0.2596819427402722,0.618843683,1
1481,0.2213987548695117,0.589578872,1
1482,0.20707165329328808,0.516773733,1
1483,0.20133502875441747,0.5,1
1484,0.20133502875441747,0.5,1
1485,0.19470265199852924,0.505710207,1
1486,0.1939713094287318,0.47751606,1
1487,0.20248318817542713,0.503211991,1
1488,0.19997639987892715,0.495003569,1
1489,0.20133502875441747,0.5,1
1490,0.20133502875441747,0.5,1
