model,balanced_accuracy,groundtruth_balanced_accuracy,dataset
97,0.628332231778536,0.672733762,1
98,0.649808638861308,0.748037116,1
99,0.6712832168820742,0.755531763,1
100,0.8214281902123333,0.995360457,1
101,0.7999641784127546,0.994289793,1
102,0.8069711545841177,0.98965025,1
103,0.8298906975668353,0.996074233,1
104,0.8300730736344222,0.998572448,1
105,0.8275903487431118,0.996788009,1
106,0.8273239353049211,0.995003569,1
107,0.8274369363467904,0.995003569,1
108,0.5482426315538265,0.564239829,1
109,0.5385531095275243,0.584939329,1
110,0.6482229529426982,0.756245539,1
111,0.6546519836956285,0.727337616,1
112,0.5492681945473427,0.593147752,1
113,0.798421097014576,0.992862241,1
114,0.5424049590457243,0.559957173,1
115,0.8236285616765879,0.987508922,1
116,0.52454332389328,0.575660243,1
117,0.8136716046261042,0.982869379,1
118,0.5887296373558296,0.578158458,1
119,0.8261694831265882,0.975374732,1
120,0.8302451712910016,0.980728051,1
121,0.5610943257459018,0.584582441,1
247,0.5168594044927222,0.499286224,1
248,0.5170807309103137,0.5,1
249,0.5170427460034251,0.499643112,1
250,0.4637889202356303,0.41184868,1
251,0.5659141417959052,0.514989293,1
252,0.4705657761122381,0.44468237,1
253,0.5112418446225988,0.447537473,1
254,0.5662491414254669,0.553890079,1
255,0.5311431909926775,0.546395432,1
256,0.5418953791727745,0.526766595,1
257,0.49435991749725666,0.44111349,1
258,0.5170807309103137,0.5,1
259,0.5170807309103137,0.5,1
260,0.5170807309103137,0.5,1
261,0.5170807309103137,0.5,1
262,0.5175552415898793,0.500713776,1
263,0.5170807309103137,0.5,1
264,0.5170807309103137,0.5,1
265,0.5169000906643916,0.499643112,1
266,0.5110913513578872,0.504282655,1
267,0.5175840238381368,0.500713776,1
268,0.5073447986419963,0.493219129,1
269,0.2965318666394468,0.151677373,1
270,0.23460005501025782,0.066738044,1
271,0.5170807309103137,0.5,1
297,0.5325125483056137,0.506067095,1
298,0.5301530867113838,0.502855103,1
299,0.5373955140467861,0.502141328,1
300,0.49997921618561625,0.504639543,1
301,0.5514895424338857,0.517844397,1
302,0.5576383789217292,0.520342612,1
303,0.4542580759225049,0.461099215,1
304,0.5608578281282075,0.575303355,1
305,0.5577686442747105,0.620985011,1
306,0.49339083603566397,0.387937188,1
307,0.433936155419933,0.428265525,1
308,0.5170807309103137,0.5,1
309,0.48959006634285607,0.454675232,1
310,0.5169998112724334,0.480014276,1
311,0.5198462112348969,0.501427552,1
312,0.5232226421651069,0.509279086,1
313,0.5161270782651817,0.5,1
314,0.5221298383464592,0.57958601,1
315,0.46840496336102944,0.413276231,1
316,0.5170807309103137,0.5,1
317,0.5165854191296729,0.5,1
318,0.5327747207799446,0.529978587,1
