dataset,balanced_accuracy,model,groundtruth_balanced_accuracy
1,0.17378519186667807,97,0.672733762
1,0.17943588579167105,98,0.748037116
1,0.18499616019122084,99,0.755531763
1,0.22340063688777212,100,0.995360457
1,0.21776759071197202,101,0.994289793
1,0.21973788905961583,102,0.98965025
1,0.2256235171702587,103,0.996074233
1,0.22571795626277333,104,0.998572448
1,0.22494564030798575,105,0.996788009
1,0.22494760471334602,106,0.995003569
1,0.2249736250389283,107,0.995003569
1,0.15336408111967048,108,0.564239829
1,0.15060816822750267,109,0.584939329
1,0.17880420977859837,110,0.756245539
1,0.18065027231738298,111,0.727337616
1,0.153428054042786,112,0.593147752
1,0.21752528054621706,113,0.992862241
1,0.15151649966679626,114,0.559957173
1,0.22470164779657056,115,0.987508922
1,0.14679301310142662,116,0.575660243
1,0.22160418115148567,117,0.982869379
1,0.16392418185395494,118,0.578158458
1,0.2250657955375672,119,0.975374732
1,0.2264839510478704,120,0.980728051
1,0.15647380238085076,121,0.584582441
1,0.1450084153685652,247,0.499286224
1,0.14507316432569467,248,0.5
1,0.14506344417403585,249,0.499643112
1,0.13123761297766556,250,0.41184868
1,0.15824641054425231,251,0.514989293
1,0.13298438323683082,252,0.44468237
1,0.14422133997283362,253,0.447537473
1,0.15826909947472875,254,0.553890079
1,0.14877596312014568,255,0.546395432
1,0.15154003008529887,256,0.526766595
1,0.13984295325421275,257,0.44111349
1,0.14507316432569467,258,0.5
1,0.14507316432569467,259,0.5
1,0.14507316432569467,260,0.5
1,0.14507316432569467,261,0.5
1,0.14520420605684756,262,0.500713776
1,0.14507316432569467,263,0.5
1,0.14507316432569467,264,0.5
1,0.14502172436176694,265,0.499643112
1,0.14329689903901402,266,0.504282655
1,0.14520554007863243,267,0.500713776
1,0.14238773948453956,268,0.493219129
1,0.08828410951994428,269,0.151677373
1,0.07207261483496136,270,0.066738044
1,0.14507316432569467,271,0.5
1,0.14935412669970616,297,0.506067095
1,0.14856223516253086,298,0.502855103
1,0.15064016157803872,299,0.502141328
1,0.14030039917789827,300,0.504639543
1,0.15362830097428198,301,0.517844397
1,0.15682620548776713,302,0.520342612
1,0.1285329268506799,303,0.461099215
1,0.15601829304444548,304,0.575303355
1,0.1555688367215637,305,0.620985011
1,0.13929197599088713,306,0.387937188
1,0.1234213114546027,307,0.428265525
1,0.14507316432569467,308,0.5
1,0.13765102890711658,309,0.454675232
1,0.14526143765621163,310,0.480014276
1,0.14583903511891447,311,0.501427552
1,0.1468317243573682,312,0.509279086
1,0.14482472981618916,313,0.5
1,0.1459695131251398,314,0.57958601
1,0.13271890876137554,315,0.413276231
1,0.14507316432569467,316,0.5
1,0.1449399191527643,317,0.5
1,0.14903744996418036,318,0.529978587
1,0.15013586072626628,319,0.453961456
1,0.1291127747805326,320,0.429693076
1,0.1465294032316185,321,0.510706638
1,0.19577326180138152,372,0.799428979
1,0.18298763125107642,373,0.762312634
1,0.1942576426856068,374,0.807280514
1,0.2176675690150261,375,0.996074233
1,0.22000356505070728,376,0.996788009
1,0.22752391488139603,377,0.990720914
1,0.22867872833533787,378,0.99821556
1,0.22438597560124926,379,0.998929336
1,0.22547997501727712,380,0.996431121
1,0.22493510513821233,381,0.994646681
1,0.22442852684619868,382,0.997144897
1,0.15206997028042363,383,0.536759458
1,0.160726089922597,384,0.658815132
1,0.19184665238667067,385,0.813704497
1,0.18819807668941477,386,0.76302641
1,0.15744410866848388,387,0.625624554
1,0.2199744147291826,388,0.974304069
1,0.1615267253675871,389,0.630264097
1,0.22099837957861881,390,0.992148465
1,0.16032056425295366,391,0.606709493
1,0.22496636115323002,392,0.991791577
1,0.16187198628602414,393,0.606352605
1,0.2235499000889983,394,0.990007138
1,0.22573322605194077,395,0.989293362
1,0.16716430592213583,396,0.706995004
1,0.145052711748659,422,0.5
1,0.14981397023598103,423,0.518915061
1,0.16079129660543948,424,0.563169165
1,0.10417489378770095,425,0.284796574
1,0.13371357615503632,426,0.459314775
1,0.14638166593570967,427,0.518558173
1,0.14774483185600445,428,0.507137759
1,0.16699904964194678,429,0.574232691
1,0.1519878627283035,430,0.513204854
1,0.14081192689057132,431,0.476445396
1,0.12296665661918851,432,0.349036403
1,0.14507316432569467,433,0.5
1,0.14479539361253382,434,0.526052819
1,0.14327884355903675,435,0.517130621
1,0.15425512989503157,436,0.528194147
1,0.1504480013901672,437,0.502141328
1,0.13832044425270876,438,0.525695931
1,0.14507316432569467,439,0.5
1,0.11735626945605614,440,0.267309065
1,0.14507316432569467,441,0.5
1,0.14523212483783904,442,0.5
1,0.15085596438506277,443,0.528551035
1,0.21266233250126373,444,0.895788722
1,0.2173779113749141,445,0.937901499
1,0.14755289203743358,446,0.520342612
1,0.15447154190907517,1022,0.481798715
1,0.15269769956373305,1023,0.48786581
1,0.14670934378984452,1024,0.452177016
1,0.13024317057441082,1025,0.394361171
1,0.13816988717353693,1026,0.414346895
1,0.14900764888683887,1027,0.431120628
1,0.12009887933499361,1028,0.307637402
1,0.13117591891030353,1029,0.374018558
1,0.18614819487693735,1030,0.653818701
1,0.15513296629574122,1031,0.501070664
1,0.15636628980125028,1032,0.459671663
1,0.14507316432569467,1033,0.5
1,0.1470723116969333,1034,0.444325482
1,0.15534546178000233,1035,0.483940043
1,0.1569936041991963,1036,0.513204854
1,0.14136914566181427,1037,0.427551749
1,0.15601902255578226,1038,0.461099215
1,0.14656989524695901,1039,0.41862955
1,0.15056808725710732,1040,0.488579586
1,0.15022245845178916,1041,0.467880086
1,0.15584043557781985,1042,0.496431121
