dataset_id,model_id,balance_accuracy
39,1654,0.212927757
7,1371,0.546
21,497,0.340524535
48,1294,0.994692433
12,103,0.989
52,517,0.333333333
22,531,0.448376151
51,1631,0.5
64,1694,0.899866667
1,395,0.989293362
51,1810,0.5044
36,1003,0.013141538
7,394,0.9775
3,1270,0.143633324
42,571,0.565217391
22,636,0.96994668
25,1299,0.4458
56,1022,0.5065
70,1438,0.233560091
14,386,0.758
43,910,0.173913043
45,1110,0.059449867
38,269,0.5
18,232,0.547031963
54,1004,0.23682598
51,1482,0.5166
4,188,0.533500313
7,440,0.262
6,634,0.331685887
42,1719,0.612648221
15,769,0.465798046
4,194,0.792110207
55,1167,0.207
22,360,0.660203587
23,1761,0.518518519
49,720,0.480769231
66,1730,0.207843137
27,764,0.880434783
46,341,0.5
55,899,0.179
36,1825,0.148286272
13,1273,0.520291363
7,1357,0.533
35,589,0.23364486
31,817,0.23830735
69,1634,0.523346304
56,426,0.422
67,522,0.329227324
3,900,0.526609083
9,99,0.484064374
43,1166,0.192028986
36,1010,0.266382525
16,494,0.87797075
70,1439,0.229024943
22,668,0.489093553
39,1668,0.077313054
32,272,0.18183657
33,168,0.183895235
7,255,0.552
27,770,0.565217391
31,217,0.268374165
15,945,0.672638436
20,586,0.535175879
26,1231,0.656007752
66,1723,0.149019608
33,1153,0.153803288
37,1828,0.31004902
48,939,0.426918889
34,398,0.499345978
9,372,0.569580309
31,799,0.194877506
12,268,0.4905
3,902,0.625661744
69,1023,0.470817121
68,83,0.307590468
3,1249,0.206742825
4,944,0.423293676
32,143,0.899657925
25,700,0.2866
1,442,0.5
66,1732,0.173202614
30,820,0.598970705
1,1816,0.526052819
29,837,0.296875
21,1379,0.515651438
19,1139,0.323095097
47,1251,0.925666667
38,1642,0.5
62,269,0.156203658
51,1493,0.4848
64,1420,0.1958
52,609,0.316183718
14,1363,0.4665
68,84,0.359664607
41,1213,0.199600798
12,1355,0.455
55,155,0.107333333
9,1626,0.42221521
66,1097,0.249673203
38,1804,0.13
66,1343,0.207189542
37,1439,0.278011204
29,870,0.377155172
18,528,0.549315068
11,224,0.503740648
32,127,0.210963455
23,357,0.307270233
6,523,0.522240527
47,1147,0.235333333
14,318,0.533
21,475,0.38071066
1,1493,0.480728051
62,1629,0.545724172
0,1304,0.216638749
47,1864,0.175
23,667,0.939643347
56,1491,0.5
43,1158,0.19384058
16,598,0.172303473
32,131,0.222591362
43,1251,0.150362319
48,397,0.573081111
51,101,0.991
1,1492,0.5
15,927,0.498371336
23,534,0.481481481
28,782,0.157185629
4,420,0.447088291
9,117,0.429157463
71,160,0.201086957
46,329,0.309257375
32,779,0.198554217
45,1729,0.177462289
69,389,0.571011673
21,493,0.326988156
4,753,0.52849092
2,881,0.188658265
43,162,0.192028986
29,834,0.25862069
9,1036,0.558535816
5,834,0.216053748
12,304,0.6
26,744,0.953488372
31,201,0.163697105
22,528,0.481337857
12,437,0.518
24,1064,0.087885986
48,769,0.432634731
10,334,0.500508647
7,1478,0.5715
9,247,0.390343957
56,396,0.429
34,944,0.53204709
4,398,0.529743269
23,635,0.493141289
10,1241,0.5
13,409,0.667013528
34,1277,0.499345978
54,989,0.276041667
42,566,0.513833992
39,1053,0.192648923
0,1781,0.377721943
48,1281,0.99346761
28,894,0.636198106
14,305,0.625
18,534,0.557077626
43,1867,0.186594203
24,695,0.669833729
2,790,0.249444033
62,1474,0.515076619
21,1377,0.39213198
16,1381,0.589579525
14,1029,0.363
50,1108,0.2
9,113,0.430104134
1,1490,0.5
56,1472,0.544
