model_id,training_data,base_model,gpu_type,para_num,size(MB),depth,flops,Time (ms) per inference step (CPU),Time (ms) per inference step (GPU),train_acc,train_loss,val_acc,val_loss,test_acc,test_loss,sparse_top_k_categorical_accuracy,training_time (s),,,,
72,0,0,1,7302474,27.86,304,529724,90.26,36.45,0.92233336,0.212921321,0.917525768,0.228584126,0.917525768,0.228584155,1,60.09617853,,,,
73,0,1,1,13071690,49.86,424,857404,112.82,41.66,0.922666669,0.256939381,0.963917553,0.126482397,0.963917553,0.126482531,1,90.87127233,,,,
74,0,2,1,18816330,71.78,504,988476,157.96,43.39,0.935000002,0.194501117,0.941580772,0.194588423,0.941580772,0.194588393,1,89.74025512,,,,
75,0,3,1,4380077,16.71,158,1925299,59.01,31.24,0.998666644,0.002005003,0.998281777,0.013441163,0.998281777,0.013441133,1,56.30260658,,,,
76,0,4,1,6905745,26.34,222,2893071,72.94,36.45,0.999666691,0.001138495,0.996563554,0.01380555,0.996563554,0.013805499,1,65.97281361,,,,
77,0,5,1,8131843,31.02,222,3370453,72.95,39.92,0.99333334,0.023176778,0.99484539,0.023805907,0.99484539,0.023805894,1,154.7758517,,,,
78,0,6,1,11179577,42.65,251,4532879,85.35,34.72,0.999666691,0.001075595,0.996563554,0.017602857,0.996563554,0.017602783,1,92.43416619,,,,
79,0,7,1,18135401,69.18,308,7189151,138.91,34.71,1,0.000746277,0.998281777,0.009440974,0.998281777,0.009440939,1,92.35622334,,,,
80,0,8,1,29040641,110.78,372,11400703,138.91,36.45,0.999666691,0.000803551,0.99484539,0.017934743,0.99484539,0.01793471,1,116.8356829,,,,
81,0,9,1,41552793,158.51,429,16204311,248.26,41.66,0.999666691,0.001490671,0.996563554,0.020536292,0.996563554,0.020536235,1,100.9770277,,,,
82,0,10,1,64755873,247.02,521,25195087,260.42,43.41,1,0.000515907,0.99484539,0.025626203,0.99484539,0.025626173,1,129.8486171,,,,
83,0,11,1,54732778,208.79,450,791868,396.65,100.16,0.540333331,26.4751358,0.324742258,46.73035812,0.324742258,46.73036194,1,134.3089099,,,,
84,0,12,1,22329898,85.18,190,1054012,135.39,32.98,0.708000004,2.250231028,0.713058412,1.65244329,0.713058412,1.652443767,1,52.33819652,,,,
85,0,13,1,3493834,13.33,70,529724,57.3,29.5,0.944666684,0.155871376,0.93470788,0.162218735,0.93470788,0.162218809,1,38.8161242,,,,
86,0,14,1,2588490,9.87,132,660796,53.81,29.52,0.954666674,0.145230323,0.951890051,0.165538162,0.951890051,0.165538132,1,45.45228434,,,,
87,0,15,1,4542878,17.33,564,1146305160,78.11,43.39,0.765666664,0.597998679,0.750859082,0.625626683,0.750859082,0.625626743,1,91.3528173,,,,72
