dataset,model,F1_Score,rate
93,463,0.3,30
93,465,0.3,30
146,585,0.3,30
161,363,0.3,30
79,367,0.303030303,30
79,369,0.303030303,30
93,367,0.303030303,30
93,369,0.303030303,30
146,415,0.303030303,30
222,323,0.303030303,30
161,335,0.304347826,30
161,337,0.304347826,30
88,371,0.307692308,31
88,399,0.307692308,31
88,401,0.307692308,31
116,411,0.307692308,31
136,327,0.307692308,31
136,389,0.307692308,31
143,325,0.307692308,31
143,389,0.307692308,31
146,477,0.307692308,31
161,365,0.307692308,31
171,373,0.307692308,31
195,363,0.307692308,31
257,319,0.309217047,31
257,321,0.309217047,31
257,351,0.309217047,31
257,353,0.309217047,31
53,335,0.3125,31
53,337,0.3125,31
111,415,0.3125,31
111,417,0.3125,31
154,417,0.3125,31
178,335,0.31372549,31
178,337,0.31372549,31
69,431,0.315789474,32
69,433,0.315789474,32
116,453,0.315789474,32
116,485,0.315789474,32
146,589,0.315789474,32
154,363,0.315789474,32
55,335,0.32,32
88,373,0.32,32
116,379,0.32,32
136,308,0.32,32
136,310,0.32,32
136,329,0.32,32
136,423,0.32,32
136,425,0.32,32
171,399,0.32,32
171,401,0.32,32
222,413,0.32,32
234,310,0.32,32
22,345,0.321428571,32
53,415,0.322580645,32
53,417,0.322580645,32
89,341,0.324324324,32
195,365,0.324324324,32
224,365,0.324324324,32
224,335,0.325581395,33
224,337,0.325581395,33
55,337,0.326530612,33
15,367,0.333333333,33
22,555,0.333333333,33
22,556,0.333333333,33
22,557,0.333333333,33
22,558,0.333333333,33
22,564,0.333333333,33
22,566,0.333333333,33
22,568,0.333333333,33
22,570,0.333333333,33
22,572,0.333333333,33
22,574,0.333333333,33
22,575,0.333333333,33
22,576,0.333333333,33
22,577,0.333333333,33
22,578,0.333333333,33
53,290,0.333333333,33
53,291,0.333333333,33
53,292,0.333333333,33
53,293,0.333333333,33
53,294,0.333333333,33
53,295,0.333333333,33
53,296,0.333333333,33
53,297,0.333333333,33
53,298,0.333333333,33
53,299,0.333333333,33
53,300,0.333333333,33
53,301,0.333333333,33
53,302,0.333333333,33
53,319,0.333333333,33
53,320,0.333333333,33
53,321,0.333333333,33
53,322,0.333333333,33
53,323,0.333333333,33
53,324,0.333333333,33
53,325,0.333333333,33
53,326,0.333333333,33
53,327,0.333333333,33
53,328,0.333333333,33
53,329,0.333333333,33
53,330,0.333333333,33
53,347,0.333333333,33
53,348,0.333333333,33
53,349,0.333333333,33
53,350,0.333333333,33
53,351,0.333333333,33
53,352,0.333333333,33
53,353,0.333333333,33
53,354,0.333333333,33
53,355,0.333333333,33
53,356,0.333333333,33
53,357,0.333333333,33
53,358,0.333333333,33
53,375,0.333333333,33
53,376,0.333333333,33
53,377,0.333333333,33
53,378,0.333333333,33
53,379,0.333333333,33
53,380,0.333333333,33
53,381,0.333333333,33
53,382,0.333333333,33
53,383,0.333333333,33
53,384,0.333333333,33
53,385,0.333333333,33
53,386,0.333333333,33
53,403,0.333333333,33
53,404,0.333333333,33
53,405,0.333333333,33
53,406,0.333333333,33
53,407,0.333333333,33
53,408,0.333333333,33
53,409,0.333333333,33
53,410,0.333333333,33
53,411,0.333333333,33
53,412,0.333333333,33
53,413,0.333333333,33
53,414,0.333333333,33
53,431,0.333333333,33
53,432,0.333333333,33
53,433,0.333333333,33
53,434,0.333333333,33
53,435,0.333333333,33
53,436,0.333333333,33
53,437,0.333333333,33
53,438,0.333333333,33
53,439,0.333333333,33
53,440,0.333333333,33
53,441,0.333333333,33
53,442,0.333333333,33
53,459,0.333333333,33
53,460,0.333333333,33
53,461,0.333333333,33
53,462,0.333333333,33
53,463,0.333333333,33
53,464,0.333333333,33
53,465,0.333333333,33
53,466,0.333333333,33
53,467,0.333333333,33
53,468,0.333333333,33
53,469,0.333333333,33
53,470,0.333333333,33
53,487,0.333333333,33
53,488,0.333333333,33
53,489,0.333333333,33
53,490,0.333333333,33
53,491,0.333333333,33
53,492,0.333333333,33
53,493,0.333333333,33
53,494,0.333333333,33
53,495,0.333333333,33
53,496,0.333333333,33
53,497,0.333333333,33
53,498,0.333333333,33
53,515,0.333333333,33
53,516,0.333333333,33
53,517,0.333333333,33
53,518,0.333333333,33
53,519,0.333333333,33
53,520,0.333333333,33
53,521,0.333333333,33
53,522,0.333333333,33
53,523,0.333333333,33
53,524,0.333333333,33
53,525,0.333333333,33
53,526,0.333333333,33
53,543,0.333333333,33
53,544,0.333333333,33
53,545,0.333333333,33
53,546,0.333333333,33
53,547,0.333333333,33
53,548,0.333333333,33
53,549,0.333333333,33
53,550,0.333333333,33
53,551,0.333333333,33
53,552,0.333333333,33
53,553,0.333333333,33
53,554,0.333333333,33
53,571,0.333333333,33
53,572,0.333333333,33
53,573,0.333333333,33
53,574,0.333333333,33
53,575,0.333333333,33
53,576,0.333333333,33
53,577,0.333333333,33
53,578,0.333333333,33
53,579,0.333333333,33
53,580,0.333333333,33
53,581,0.333333333,33
53,582,0.333333333,33
53,599,0.333333333,33
53,600,0.333333333,33
53,601,0.333333333,33
53,602,0.333333333,33
53,603,0.333333333,33
53,604,0.333333333,33
53,605,0.333333333,33
53,606,0.333333333,33
53,607,0.333333333,33
53,608,0.333333333,33
53,609,0.333333333,33
53,610,0.333333333,33
53,627,0.333333333,33
53,628,0.333333333,33
53,629,0.333333333,33
53,630,0.333333333,33
53,631,0.333333333,33
53,632,0.333333333,33
53,633,0.333333333,33
53,634,0.333333333,33
53,635,0.333333333,33
53,636,0.333333333,33
53,637,0.333333333,33
53,638,0.333333333,33
53,655,0.333333333,33
53,656,0.333333333,33
53,657,0.333333333,33
53,658,0.333333333,33
53,659,0.333333333,33
53,660,0.333333333,33
53,661,0.333333333,33
53,662,0.333333333,33
53,663,0.333333333,33
53,664,0.333333333,33
53,665,0.333333333,33
53,666,0.333333333,33
53,683,0.333333333,33
53,684,0.333333333,33
53,685,0.333333333,33
53,686,0.333333333,33
53,687,0.333333333,33
53,688,0.333333333,33
53,689,0.333333333,33
53,690,0.333333333,33
53,691,0.333333333,33
53,692,0.333333333,33
53,693,0.333333333,33
53,694,0.333333333,33
69,290,0.333333333,33
69,323,0.333333333,33
69,325,0.333333333,33
69,435,0.333333333,33
69,437,0.333333333,33
79,291,0.333333333,33
79,292,0.333333333,33
79,293,0.333333333,33
79,294,0.333333333,33
79,295,0.333333333,33
79,296,0.333333333,33
79,297,0.333333333,33
79,298,0.333333333,33
79,299,0.333333333,33
79,300,0.333333333,33
79,301,0.333333333,33
79,302,0.333333333,33
79,371,0.333333333,33
79,373,0.333333333,33
88,308,0.333333333,33
88,310,0.333333333,33
90,289,0.333333333,33
90,423,0.333333333,33
90,425,0.333333333,33
93,495,0.333333333,33
93,497,0.333333333,33
103,290,0.333333333,33
103,292,0.333333333,33
103,294,0.333333333,33
103,296,0.333333333,33
103,298,0.333333333,33
111,290,0.333333333,33
111,291,0.333333333,33
111,292,0.333333333,33
111,293,0.333333333,33
111,294,0.333333333,33
111,295,0.333333333,33
111,296,0.333333333,33
111,297,0.333333333,33
111,298,0.333333333,33
111,299,0.333333333,33
111,300,0.333333333,33
111,301,0.333333333,33
111,302,0.333333333,33
111,319,0.333333333,33
111,320,0.333333333,33
111,321,0.333333333,33
111,322,0.333333333,33
111,323,0.333333333,33
111,324,0.333333333,33
111,325,0.333333333,33
111,326,0.333333333,33
111,327,0.333333333,33
111,328,0.333333333,33
111,329,0.333333333,33
111,330,0.333333333,33
111,347,0.333333333,33
111,348,0.333333333,33
111,349,0.333333333,33
111,350,0.333333333,33
111,351,0.333333333,33
111,352,0.333333333,33
111,353,0.333333333,33
111,354,0.333333333,33
111,355,0.333333333,33
111,356,0.333333333,33
111,357,0.333333333,33
111,358,0.333333333,33
111,375,0.333333333,33
111,376,0.333333333,33
111,377,0.333333333,33
111,378,0.333333333,33
111,379,0.333333333,33
111,380,0.333333333,33
111,381,0.333333333,33
111,382,0.333333333,33
111,383,0.333333333,33
111,384,0.333333333,33
111,385,0.333333333,33
111,386,0.333333333,33
111,403,0.333333333,33
111,404,0.333333333,33
111,405,0.333333333,33
111,406,0.333333333,33
111,407,0.333333333,33
111,408,0.333333333,33
111,409,0.333333333,33
111,410,0.333333333,33
111,411,0.333333333,33
111,412,0.333333333,33
111,413,0.333333333,33
111,414,0.333333333,33
111,431,0.333333333,33
111,432,0.333333333,33
111,433,0.333333333,33
111,434,0.333333333,33
111,435,0.333333333,33
111,436,0.333333333,33
111,437,0.333333333,33
111,438,0.333333333,33
111,439,0.333333333,33
111,440,0.333333333,33
111,441,0.333333333,33
111,442,0.333333333,33
111,459,0.333333333,33
111,460,0.333333333,33
111,461,0.333333333,33
111,462,0.333333333,33
111,463,0.333333333,33
111,464,0.333333333,33
111,465,0.333333333,33
111,466,0.333333333,33
111,467,0.333333333,33
111,468,0.333333333,33
111,469,0.333333333,33
111,470,0.333333333,33
111,487,0.333333333,33
111,488,0.333333333,33
111,489,0.333333333,33
111,490,0.333333333,33
111,491,0.333333333,33
111,492,0.333333333,33
111,493,0.333333333,33
111,494,0.333333333,33
111,495,0.333333333,33
111,496,0.333333333,33
111,497,0.333333333,33
111,498,0.333333333,33
111,515,0.333333333,33
111,516,0.333333333,33
111,517,0.333333333,33
111,518,0.333333333,33
111,519,0.333333333,33
111,520,0.333333333,33
111,521,0.333333333,33
111,522,0.333333333,33
111,523,0.333333333,33
111,524,0.333333333,33
111,525,0.333333333,33
111,526,0.333333333,33
111,543,0.333333333,33
111,544,0.333333333,33
111,545,0.333333333,33
111,546,0.333333333,33
111,547,0.333333333,33
111,548,0.333333333,33
111,549,0.333333333,33
111,550,0.333333333,33
111,551,0.333333333,33
111,552,0.333333333,33
111,553,0.333333333,33
111,554,0.333333333,33
111,571,0.333333333,33
111,572,0.333333333,33
111,573,0.333333333,33
111,574,0.333333333,33
111,575,0.333333333,33
111,576,0.333333333,33
111,577,0.333333333,33
111,578,0.333333333,33
111,579,0.333333333,33
111,580,0.333333333,33
111,581,0.333333333,33
111,582,0.333333333,33
111,599,0.333333333,33
111,600,0.333333333,33
111,601,0.333333333,33
111,602,0.333333333,33
111,603,0.333333333,33
111,604,0.333333333,33
111,605,0.333333333,33
111,606,0.333333333,33
111,607,0.333333333,33
111,608,0.333333333,33
111,609,0.333333333,33
111,610,0.333333333,33
111,627,0.333333333,33
111,628,0.333333333,33
111,629,0.333333333,33
111,630,0.333333333,33
111,631,0.333333333,33
111,632,0.333333333,33
111,633,0.333333333,33
111,634,0.333333333,33
111,635,0.333333333,33
111,636,0.333333333,33
111,637,0.333333333,33
111,638,0.333333333,33
111,655,0.333333333,33
111,656,0.333333333,33
111,657,0.333333333,33
111,658,0.333333333,33
111,659,0.333333333,33
111,660,0.333333333,33
111,661,0.333333333,33
111,662,0.333333333,33
111,663,0.333333333,33
111,664,0.333333333,33
111,665,0.333333333,33
111,666,0.333333333,33
111,683,0.333333333,33
111,684,0.333333333,33
111,685,0.333333333,33
111,686,0.333333333,33
111,687,0.333333333,33
111,688,0.333333333,33
111,689,0.333333333,33
111,690,0.333333333,33
111,691,0.333333333,33
111,692,0.333333333,33
111,693,0.333333333,33
111,694,0.333333333,33
113,292,0.333333333,33
113,294,0.333333333,33
113,296,0.333333333,33
113,298,0.333333333,33
113,300,0.333333333,33
113,302,0.333333333,33
116,292,0.333333333,33
116,294,0.333333333,33
116,296,0.333333333,33
116,298,0.333333333,33
116,300,0.333333333,33
116,302,0.333333333,33
116,310,0.333333333,33
116,319,0.333333333,33
116,320,0.333333333,33
116,337,0.333333333,33
116,338,0.333333333,33
116,355,0.333333333,33
116,356,0.333333333,33
116,373,0.333333333,33
116,374,0.333333333,33
116,391,0.333333333,33
116,392,0.333333333,33
116,409,0.333333333,33
116,410,0.333333333,33
116,415,0.333333333,33
116,427,0.333333333,33
116,428,0.333333333,33
116,445,0.333333333,33
116,446,0.333333333,33
116,463,0.333333333,33
116,464,0.333333333,33
116,481,0.333333333,33
116,482,0.333333333,33
116,499,0.333333333,33
116,500,0.333333333,33
116,517,0.333333333,33
116,518,0.333333333,33
116,521,0.333333333,33
116,535,0.333333333,33
116,536,0.333333333,33
116,553,0.333333333,33
116,554,0.333333333,33
122,290,0.333333333,33
122,292,0.333333333,33
122,294,0.333333333,33
122,296,0.333333333,33
122,298,0.333333333,33
122,300,0.333333333,33
122,302,0.333333333,33
122,308,0.333333333,33
122,310,0.333333333,33
122,319,0.333333333,33
122,320,0.333333333,33
122,321,0.333333333,33
122,322,0.333333333,33
122,339,0.333333333,33
122,340,0.333333333,33
122,341,0.333333333,33
