dataset,model,rate_f,rate
9,311,1,100
9,312,1,100
9,313,0.923076923,92
9,314,0.923076923,92
9,343,0.923076923,92
9,344,0.923076923,92
9,291,0.833333333,83
9,293,0.833333333,83
9,295,0.833333333,83
9,297,0.833333333,83
9,299,0.833333333,83
9,301,0.833333333,83
9,315,0.833333333,83
9,316,0.833333333,83
9,317,0.833333333,83
9,318,0.833333333,83
9,323,0.833333333,83
9,324,0.833333333,83
9,325,0.833333333,83
9,326,0.833333333,83
9,327,0.833333333,83
9,328,0.833333333,83
9,329,0.833333333,83
9,330,0.833333333,83
9,331,0.833333333,83
9,332,0.833333333,83
9,333,0.833333333,83
9,334,0.833333333,83
9,345,0.833333333,83
9,346,0.833333333,83
9,347,0.833333333,83
9,348,0.833333333,83
9,349,0.833333333,83
9,350,0.833333333,83
9,351,0.833333333,83
9,352,0.833333333,83
9,353,0.833333333,83
9,354,0.833333333,83
9,355,0.833333333,83
9,356,0.833333333,83
9,357,0.833333333,83
9,358,0.833333333,83
9,359,0.833333333,83
9,360,0.833333333,83
9,361,0.833333333,83
9,362,0.833333333,83
9,363,0.833333333,83
9,364,0.833333333,83
9,365,0.833333333,83
9,366,0.833333333,83
9,375,0.833333333,83
9,376,0.833333333,83
9,377,0.833333333,83
9,378,0.833333333,83
9,379,0.833333333,83
9,380,0.833333333,83
9,381,0.833333333,83
9,382,0.833333333,83
9,383,0.833333333,83
9,384,0.833333333,83
9,385,0.833333333,83
9,386,0.833333333,83
9,387,0.833333333,83
9,388,0.833333333,83
9,389,0.833333333,83
9,390,0.833333333,83
9,391,0.833333333,83
9,392,0.833333333,83
9,393,0.833333333,83
9,394,0.833333333,83
9,395,0.833333333,83
9,396,0.833333333,83
9,397,0.833333333,83
9,398,0.833333333,83
9,407,0.833333333,83
9,408,0.833333333,83
9,409,0.833333333,83
9,410,0.833333333,83
9,411,0.833333333,83
9,412,0.833333333,83
9,413,0.833333333,83
9,414,0.833333333,83
9,415,0.833333333,83
9,416,0.833333333,83
9,417,0.833333333,83
9,418,0.833333333,83
9,419,0.833333333,83
9,420,0.833333333,83
9,421,0.833333333,83
9,422,0.833333333,83
9,423,0.833333333,83
9,424,0.833333333,83
9,425,0.833333333,83
9,426,0.833333333,83
9,427,0.833333333,83
9,428,0.833333333,83
9,429,0.833333333,83
9,430,0.833333333,83
9,439,0.833333333,83
9,440,0.833333333,83
9,441,0.833333333,83
9,442,0.833333333,83
9,443,0.833333333,83
9,444,0.833333333,83
9,445,0.833333333,83
9,446,0.833333333,83
9,447,0.833333333,83
9,448,0.833333333,83
9,449,0.833333333,83
9,450,0.833333333,83
9,451,0.833333333,83
9,452,0.833333333,83
9,453,0.833333333,83
9,454,0.833333333,83
9,455,0.833333333,83
9,456,0.833333333,83
9,457,0.833333333,83
9,458,0.833333333,83
9,459,0.833333333,83
9,460,0.833333333,83
9,461,0.833333333,83
9,462,0.833333333,83
9,471,0.833333333,83
9,472,0.833333333,83
9,473,0.833333333,83
9,474,0.833333333,83
9,475,0.833333333,83
9,476,0.833333333,83
9,477,0.833333333,83
9,478,0.833333333,83
9,479,0.833333333,83
9,480,0.833333333,83
9,481,0.833333333,83
9,482,0.833333333,83
9,483,0.833333333,83
9,484,0.833333333,83
9,485,0.833333333,83
9,486,0.833333333,83
9,487,0.833333333,83
9,488,0.833333333,83
9,489,0.833333333,83
9,490,0.833333333,83
9,491,0.833333333,83
9,492,0.833333333,83
9,493,0.833333333,83
9,494,0.833333333,83
9,503,0.833333333,83
9,504,0.833333333,83
9,505,0.833333333,83
9,506,0.833333333,83
9,507,0.833333333,83
9,508,0.833333333,83
9,509,0.833333333,83
9,510,0.833333333,83
9,511,0.833333333,83
9,512,0.833333333,83
9,513,0.833333333,83
9,514,0.833333333,83
9,515,0.833333333,83
9,516,0.833333333,83
9,517,0.833333333,83
9,518,0.833333333,83
9,519,0.833333333,83
9,520,0.833333333,83
9,521,0.833333333,83
9,522,0.833333333,83
9,523,0.833333333,83
9,524,0.833333333,83
9,525,0.833333333,83
9,526,0.833333333,83
9,322,0.769230769,77
9,320,0.714285714,71
9,498,0.714285714,71
9,502,0.714285714,71
15,311,1,100
15,312,1,100
15,313,1,100
15,314,1,100
15,320,0.875,88
15,322,0.875,88
15,323,0.875,88
15,324,0.875,88
15,325,0.875,88
15,326,0.875,88
15,327,0.875,88
15,328,0.875,88
15,329,0.875,88
15,330,0.875,88
15,343,0.875,88
15,344,0.875,88
15,345,0.875,88
