dataset_id,model_id,F1_Score
129,404, 0.2857142857142857
243,332, 0.018154311649016642
287,742, 0.024054982817869414
134,645, 0.5
83,654, 0.9090909090909091
63,359, 0.24489795918367346
13,345, 0.4074074074074074
254,293, 0.012578616352201257
85,504, 0.7142857142857143
201,387, 0.7058823529411765
231,521, 0.2222222222222222
51,587, 0.4761904761904762
286,640, 0.02023608768971332
129,575, 0.2857142857142857
219,354, 0.7499999999999999
275,326, 0.27586206896551724
232,532, 0.6666666666666667
60,536, 0.9090909090909091
75,457, 0.7777777777777777
31,501, 0.5555555555555556
241,738, 0.022151898734177212
42,319, 0.6206896551724138
68,430, 0.8333333333333333
286,303, 0.6833527357392316
270,590, 0.0281195079086116
132,323, 0.2857142857142857
266,363, 0.031683168316831684
152,634, 0.2857142857142857
34,515, 0.6666666666666666
34,357, 0.7692307692307693
127,523, 0.7142857142857143
92,386, 0.25
204,583, 0.4
1,533, 0.42857142857142855
228,423, 0.7368421052631579
268,652, 0.021439509954058196
221,468, 0.2857142857142857
87,638, 0.2857142857142857
288,531, 0.04786324786324787
12,305, 0.018257261410788383
151,303, 0.004106776180698153
127,363, 0.8750000000000001
37,307, 0.6
200,294, 0.33333333333333337
48,535, 1.0
100,616, 0.8333333333333333
172,335, 0.39215686274509803
169,664, 0.2857142857142857
259,585, 0.01805869074492099
269,400, 0.04721753794266442
67,435, 0.6363636363636364
144,355, 0.5333333333333333
279,546, 0.18181818181818182
117,440, 0.7368421052631577
139,504, 0.7999999999999999
112,325, 0.25
260,581, 0.01873536299765808
159,498, 0.6153846153846153
269,678, 0.02389078498293516
209,374, 0.46153846153846156
217,520, 0.42857142857142855
57,534, 0.888888888888889
87,360, 0.5454545454545454
203,520, 0.33333333333333337
96,400, 0.2857142857142857
97,477, 0.6666666666666666
96,394, 0.923076923076923
286,504, 0.03350083752093802
266,339, 0.9716520039100685
192,498, 0.5882352941176471
230,457, 0.8
203,478, 0.6666666666666666
156,351, 0.21276595744680848
199,694, 0.25
27,358, 0.5882352941176471
131,361, 0.7777777777777778
84,633, 0.2857142857142857
189,318, 0.8333333333333333
181,502, 1.0
281,679, 0.18181818181818182
196,331, 1.0
80,404, 0.2857142857142857
119,578, 0.25
259,651, 0.015819209039548022
32,492, 0.4444444444444445
120,630, 0.33333333333333337
183,303, 0.0054200542005420045
200,399, 0.33333333333333337
239,566, 0.026845637583892617
239,606, 0.026845637583892617
279,348, 0.14814814814814814
243,461, 0.012139605462822457
62,492, 0.33333333333333337
181,565, 0.7692307692307692
272,673, 0.17647058823529413
74,312, 0.6153846153846154
175,440, 0.5
28,418, 0.7142857142857143
272,399, 0.14035087719298248
74,657, 0.33333333333333337
129,434, 0.2857142857142857
57,489, 0.7272727272727273
207,524, 0.2857142857142857
255,564, 0.026845637583892617
170,427, 0.8421052631578948
126,571, 0.7272727272727272
269,387, 0.0505050505050505
62,353, 0.33333333333333337
215,445, 0.6153846153846153
28,490, 0.7142857142857143
252,472, 0.027439024390243903
25,391, 0.5882352941176471
244,401, 0.09461663947797716
127,451, 0.6666666666666666
74,406, 0.33333333333333337
206,388, 0.7142857142857143
140,394, 0.923076923076923
26,337, 0.24489795918367344
150,604, 0.2857142857142857
272,510, 0.16216216216216217
57,501, 0.4
74,371, 1.0
24,396, 0.5263157894736842
102,514, 0.7692307692307693
115,541, 0.6153846153846153
10,449, 0.6153846153846153
232,455, 1.0
260,651, 0.016412661195779603
51,346, 0.8333333333333333
287,365, 0.017241379310344827
190,592, 0.8333333333333334
223,345, 0.8571428571428572
10,425, 0.4
46,320, 0.2857142857142857
271,570, 0.02711864406779661
30,493, 0.7692307692307693
176,622, 0.6
101,397, 0.7499999999999999
160,474, 0.7272727272727272
241,513, 0.028391167192429023
210,362, 0.761904761904762
157,494, 0.7058823529411764
67,512, 0.8571428571428571
149,495, 0.5454545454545454
