dataset_id,model_id,F1_Score
100,452, 0.923076923076923
167,344, 1.0
142,486, 0.923076923076923
67,419, 0.9333333333333333
16,345, 0.9333333333333333
44,503, 0.923076923076923
258,349, 0.9602932193036041
158,518, 0.9090909090909091
166,346, 0.9090909090909091
203,346, 1.0
104,430, 1.0
221,500, 1.0
232,679, 0.9090909090909091
156,390, 1.0
29,334, 0.9333333333333333
86,332, 0.9090909090909091
176,513, 0.9090909090909091
142,514, 0.923076923076923
184,402, 0.9090909090909091
212,513, 0.9090909090909091
75,316, 1.0
179,395, 1.0
191,497, 0.9333333333333333
35,311, 1.0
44,330, 0.9090909090909091
77,569, 0.9090909090909091
190,317, 1.0
180,371, 1.0
202,654, 0.9090909090909091
100,502, 0.923076923076923
44,459, 1.0
85,315, 1.0
25,312, 0.9565217391304348
196,365, 1.0
184,508, 1.0
151,427, 1.0
175,318, 1.0
49,452, 0.923076923076923
214,510, 1.0
81,484, 0.923076923076923
82,457, 1.0
85,395, 1.0
237,311, 1.0
193,506, 1.0
86,368, 0.9090909090909091
66,511, 0.9090909090909091
190,598, 0.9090909090909091
175,461, 1.0
72,459, 1.0
60,573, 0.923076923076923
211,557, 0.923076923076923
148,428, 1.0
68,478, 1.0
82,483, 1.0
82,429, 1.0
163,312, 0.923076923076923
132,458, 1.0
183,347, 1.0
54,415, 1.0
29,336, 0.9333333333333333
29,333, 0.9333333333333333
64,331, 1.0
270,343, 1.0
153,456, 1.0
130,457, 1.0
155,427, 1.0
104,482, 1.0
142,506, 0.923076923076923
100,456, 0.923076923076923
193,485, 1.0
32,312, 1.0
150,318, 1.0
46,653, 0.9090909090909091
175,477, 1.0
144,491, 1.0
204,483, 1.0
180,400, 1.0
73,374, 1.0
156,363, 1.0
123,397, 0.9
180,486, 0.9090909090909091
205,509, 1.0
226,623, 0.9090909090909091
187,445, 1.0
59,347, 0.9090909090909091
133,511, 1.0
58,452, 0.9090909090909091
108,598, 0.9090909090909091
142,500, 0.923076923076923
190,625, 0.9090909090909091
205,362, 1.0
264,309, 0.9663157894736842
181,446, 1.0
248,345, 0.9927826784282278
125,428, 0.923076923076923
159,379, 1.0
180,455, 0.9090909090909091
74,429, 1.0
83,652, 0.9090909090909091
84,484, 1.0
176,457, 0.9090909090909091
101,539, 0.9090909090909091
51,371, 0.923076923076923
96,397, 1.0
134,455, 0.9090909090909091
205,482, 1.0
76,380, 1.0
81,486, 0.923076923076923
181,650, 0.9090909090909091
54,437, 1.0
162,618, 0.9090909090909091
19,327, 0.923076923076923
227,575, 1.0
132,568, 0.9090909090909091
219,413, 1.0
198,331, 1.0
96,315, 1.0
106,315, 1.0
196,427, 0.923076923076923
46,508, 0.923076923076923
227,510, 0.923076923076923
87,371, 1.0
227,444, 0.923076923076923
129,568, 0.9090909090909091
117,332, 0.9473684210526316
176,485, 0.9090909090909091
209,476, 1.0
57,475, 1.0
57,416, 1.0
227,551, 0.923076923076923
207,483, 0.9090909090909091
211,435, 0.923076923076923
46,681, 0.9090909090909091
140,408, 0.923076923076923
184,486, 0.9090909090909091
60,436, 0.9090909090909091
163,368, 0.923076923076923
197,452, 1.0
52,349, 0.9473684210526316
117,364, 0.9473684210526316
259,311, 1.0
132,567, 0.9090909090909091
264,317, 0.9811738648947952
95,502, 0.9090909090909091
139,577, 0.923076923076923
