dataset_id,model_id,F1_Score
48,460,0.4
14,466,0.6250000000000001
60,369,0.6666666666666666
237,358,0.0301507537688442
250,692,0.0216383307573415
246,412,0.0532445923460898
51,572,0.25
1,388,0.6956521739130435
74,335,0.2941176470588235
248,735,0.0251572327044025
88,321,0.2051282051282051
197,371,1.0
118,642,0.6666666666666666
260,625,0.0210526315789473
179,435,1.0
276,676,0.1176470588235294
150,378,0.2857142857142857
221,397,0.7692307692307692
100,687,0.25
268,412,0.0512820512820512
77,487,0.2857142857142857
288,302,0.0034965034965034
277,641,0.1481481481481481
268,311,1.0
34,317,0.8571428571428571
148,522,0.888888888888889
215,575,1.0
272,638,0.1764705882352941
273,638,0.1621621621621621
143,402,0.4
12,394,0.7000000000000001
98,518,0.625
170,515,0.7058823529411764
193,326,0.3333333333333333
75,495,0.5714285714285713
221,469,0.2857142857142857
288,436,0.0411663807890223
244,411,0.0915032679738562
43,556,1.0
248,623,0.0282574568288853
86,416,1.0
280,393,0.2564102564102564
116,378,0.5454545454545454
122,336,0.888888888888889
36,412,0.7692307692307693
245,318,0.1490683229813664
212,660,0.2857142857142857
275,569,0.2758620689655172
224,439,0.25
282,495,0.123076923076923
150,640,0.5333333333333333
276,665,0.1111111111111111
48,442,0.4
31,370,0.5
263,469,0.0532212885154061
58,540,0.888888888888889
70,445,0.8235294117647058
167,330,0.2857142857142857
191,534,0.7692307692307693
15,305,0.0149253731343283
245,293,0.0133111480865224
273,313,0.033434650455927
143,376,1.0
72,329,0.1694915254237288
6,447,0.5
241,386,0.0314960629921259
172,324,0.7777777777777777
40,511,0.7142857142857143
108,336,0.7058823529411764
262,517,0.0289855072463768
213,406,0.2222222222222222
197,638,0.2857142857142857
42,429,0.8
111,646,0.6153846153846154
125,417,0.2424242424242424
242,338,0.108433734939759
221,404,0.2857142857142857
142,624,0.8333333333333333
248,569,0.0344287949921752
176,530,0.4615384615384615
209,480,0.888888888888889
256,507,0.0466666666666666
96,417,1.0
53,592,0.7272727272727272
282,408,0.1612903225806451
15,304,0.2045454545454545
250,391,0.0458015267175572
242,591,0.0375
159,482,0.6666666666666666
206,320,0.2857142857142857
51,547,0.25
270,516,0.031578947368421
154,677,0.8333333333333334
162,513,1.0
228,512,0.5333333333333333
157,407,0.6666666666666666
156,409,0.7692307692307693
111,484,1.0
267,705,0.0184331797235023
262,583,0.0232558139534883
150,335,0.3529411764705882
68,386,0.8333333333333333
236,643,0.0231404958677685
284,362,0.0592105263157894
48,456,0.8571428571428571
232,526,0.2857142857142857
193,562,0.888888888888889
197,647,0.7142857142857143
186,316,0.888888888888889
77,541,0.9090909090909092
44,481,0.923076923076923
247,634,0.0259259259259259
53,334,0.625
197,388,1.0
204,394,0.7272727272727272
141,495,0.1999999999999999
262,726,0.0203784570596797
104,497,0.2857142857142857
282,417,0.1666666666666666
258,322,0.0459242250287026
235,354,0.875
271,639,0.0237691001697792
195,454,1.0
134,693,0.2857142857142857
77,343,1.0
78,352,0.7777777777777777
266,725,0.0199203187250996
145,438,0.2857142857142857
164,558,0.6666666666666666
142,488,0.25
185,501,0.4615384615384615
213,386,0.2222222222222222
11,440,0.7142857142857143
245,447,0.0264900662251655
41,298,0.3333333333333333
34,507,0.6666666666666666
282,477,0.1428571428571428
254,394,0.0403100775193798
156,400,0.5
163,533,0.3636363636363636
286,431,0.0658978583196046
188,313,0.5882352941176471
194,641,0.5555555555555556
262,601,0.0289855072463768
96,572,1.0
242,415,0.0344287949921752
182,427,1.0
251,537,0.037956204379562
4,397,0.8333333333333333
238,749,0.0139372822299651
288,542,0.0344234079173838
227,564,1.0
27,451,0.5882352941176471
45,485,1.0
265,499,0.0369609856262833
88,397,1.0
243,294,0.0030487804878048
110,398,0.8235294117647058
83,448,0.8
30,333,0.9333333333333332
265,473,0.0529531568228106
238,681,0.024263431542461
73,616,0.8000000000000002
283,383,0.0412698412698412
137,336,0.7407407407407407
164,334,0.5
224,648,0.6153846153846153
211,501,0.25
256,725,0.0269360269360269
218,292,0.4
26,331,0.8333333333333333
94,336,0.5
186,499,0.5
189,583,0.4761904761904762
212,373,0.9090909090909092
58,691,0.3333333333333333
125,643,0.5555555555555556
249,562,0.0274809160305343
214,414,1.0
258,517,0.0278099652375434
183,402,0.6153846153846153
147,486,0.8333333333333333
221,412,0.2857142857142857
171,315,1.0
271,467,0.0566666666666666
226,573,0.2857142857142857
221,530,0.6666666666666667
47,499,0.3999999999999999
6,409,0.5
30,340,0.75
184,612,0.9090909090909092
113,483,0.6666666666666666
252,708,0.0153374233128834
281,534,0.15
236,594,0.0264026402640264
140,460,1.0
190,608,0.2857142857142857
11,519,0.7142857142857143
103,310,0.6451612903225806
106,637,0.25
32,349,0.6111111111111112
43,382,0.3333333333333333
280,541,0.1666666666666666
143,575,1.0
73,538,0.6666666666666666
23,312,0.9285714285714286
101,625,0.9090909090909092
66,437,0.2857142857142857
272,412,0.1904761904761904
132,372,1.0
172,329,0.8
134,410,0.2857142857142857
140,449,0.8571428571428571
99,481,0.6666666666666666
258,359,0.0592930444697833
231,402,0.9333333333333332
181,644,0.9090909090909092
250,526,0.0155038759689922
286,554,0.0235690235690235
257,721,0.016260162601626
41,566,0.5
80,314,0.7142857142857143
222,302,0.2857142857142857
139,531,0.8571428571428571
224,568,0.7272727272727273
120,670,0.7499999999999999
97,387,0.761904761904762
19,356,0.8333333333333333
97,421,0.7000000000000001
58,327,0.3333333333333333
227,575,1.0
279,657,0.1875
188,436,0.888888888888889
88,327,0.6666666666666666
146,311,0.6
81,526,0.25
237,436,0.0367278797996661
146,659,0.2857142857142857
150,693,0.2857142857142857
191,354,0.7142857142857143
194,293,0.2857142857142857
33,448,0.5714285714285715
153,689,0.3333333333333333
44,458,0.9090909090909092
83,577,0.2857142857142857
217,428,0.5333333333333333
283,404,0.0443740095087163
151,352,0.6
32,517,0.4444444444444445
238,329,0.0276816608996539
254,604,0.0280811232449297
263,425,0.0284090909090909
260,404,0.0302677532013969
196,423,0.7999999999999999
277,669,0.1481481481481481
167,475,0.5
156,450,0.6666666666666666
153,570,0.888888888888889
167,523,0.2857142857142857
98,432,0.631578947368421
166,552,0.2857142857142857
119,677,0.5714285714285714
160,491,0.6666666666666667
58,447,0.6666666666666666
265,433,0.0529531568228106
45,602,0.2857142857142857
79,398,1.0
79,330,0.625
126,413,0.6153846153846154
158,450,0.7692307692307692
271,499,0.046979865771812
32,422,0.1333333333333333
176,419,0.3846153846153846
213,314,0.7999999999999999
108,605,0.2857142857142857
266,422,0.0159680638722554
247,729,0.0295748613678373
93,421,0.6666666666666667
129,628,0.2857142857142857
195,290,0.2857142857142857
199,638,0.25
153,407,0.3333333333333333
202,556,0.9090909090909092
120,300,0.3333333333333333
228,388,0.625
259,603,0.0269662921348314
272,324,0.3181818181818182
80,593,0.5714285714285715
123,464,0.7368421052631579
169,397,0.7058823529411764
11,425,0.7142857142857143
103,304,0.1739130434782608
47,423,0.75
161,300,0.25
239,503,0.0465116279069767
204,591,0.7272727272727272
94,501,0.5333333333333333
54,391,0.5714285714285715
271,296,0.0068493150684931
257,691,0.0162790697674418
90,317,1.0
32,524,0.4444444444444445
163,505,0.625
134,401,0.9090909090909092
237,511,0.0301507537688442
253,310,0.0959520239880059
107,590,0.7142857142857143
138,322,1.0
230,331,1.0
182,323,0.3333333333333333
130,420,0.6666666666666666
159,433,0.5714285714285715
272,702,0.1764705882352941
165,296,0.3333333333333333
160,421,0.5333333333333333
66,621,0.6153846153846153
0,488,0.0114942528735632
221,297,0.2857142857142857
145,523,0.2857142857142857
55,296,0.3636363636363636
241,620,0.0158730158730158
103,328,0.9090909090909092
150,321,0.2857142857142857
259,352,0.0488888888888888
99,512,0.9090909090909092
84,535,0.7692307692307692
273,409,0.135593220338983
206,572,0.8333333333333334
219,395,1.0
287,618,0.0206540447504302
84,308,0.3529411764705882
242,400,0.043613707165109
26,385,0.8333333333333333
18,375,0.375
133,506,0.6666666666666666
244,331,0.0169779286926994
262,562,0.0232558139534883
247,333,0.0222634508348794
286,312,0.1335453100158982
237,526,0.0168634064080944
180,384,0.2857142857142857
126,361,0.3333333333333333
267,461,0.0365296803652968
24,520,0.4444444444444445
166,570,0.8
183,341,0.2222222222222222
178,479,0.75
193,551,0.3333333333333333
43,471,0.7142857142857143
147,472,0.9090909090909092
224,355,0.25
151,413,1.0
261,610,0.0183066361556064
181,660,0.2857142857142857
193,437,0.3333333333333333
274,545,0.2222222222222222
123,349,1.0
215,369,0.5714285714285715
222,385,0.5333333333333333
249,346,0.130246020260492
156,459,1.0
184,407,0.2857142857142857
208,344,1.0
228,454,0.625
271,487,0.0337837837837837
124,638,0.25
129,345,0.9090909090909092
168,303,0.005453306066803
225,556,0.7272727272727272
228,364,0.7777777777777778
179,559,0.4
204,308,0.2758620689655172
184,336,0.7499999999999999
113,476,0.888888888888889
52,454,0.8235294117647058
25,410,0.8
141,605,0.1999999999999999
182,627,0.3333333333333333
238,429,0.017391304347826
218,387,0.6153846153846153
180,627,0.2857142857142857
281,727,0.1621621621621621
117,525,0.7499999999999999
127,452,0.75
48,293,0.6666666666666666
200,348,0.5333333333333333
192,477,0.625
35,368,0.5263157894736842
45,657,0.2857142857142857
174,338,0.7499999999999999
271,368,0.050251256281407
133,567,0.888888888888889
78,311,0.7142857142857143
245,413,0.0897435897435897
81,493,0.25
43,348,0.5555555555555556
92,494,0.25
66,605,0.2857142857142857
287,747,0.0138169257340241
169,329,0.2857142857142857
126,530,0.7272727272727272
56,337,0.2916666666666666
257,703,0.0162790697674418
232,524,0.2857142857142857
271,551,0.0337837837837837
278,643,0.1764705882352941
43,565,0.8333333333333333
210,493,0.6666666666666666
157,349,0.9523809523809524
161,289,0.2222222222222222
268,734,0.0214395099540581
0,324,0.0152963671128107
200,491,0.8333333333333333
92,304,0.1186440677966101
287,472,0.0375426621160409
274,551,0.2222222222222222
39,493,0.7692307692307693
4,336,0.5217391304347825
144,453,0.5454545454545454
270,435,0.0688468158347676
264,304,0.0912863070539419
263,624,0.0199714693295292
139,522,0.25
81,647,0.7142857142857143
198,357,0.8421052631578948
49,615,0.7142857142857143
276,307,0.0228716645489199
38,559,0.1818181818181818
56,449,0.7999999999999999
276,452,0.1666666666666666
161,449,0.7058823529411764
75,480,0.7058823529411764
147,403,0.7692307692307693
95,425,0.7499999999999999
219,413,1.0
122,331,0.8333333333333333
281,709,0.1764705882352941
51,475,0.48
268,581,0.0274809160305343
220,670,0.6666666666666666
138,465,0.5
172,460,0.7499999999999999
145,291,0.2857142857142857
254,569,0.0342146189735614
133,571,0.3333333333333333
107,339,0.761904761904762
135,374,0.631578947368421
40,348,0.7142857142857143
172,380,0.8235294117647058
206,290,0.2857142857142857
250,680,0.0216383307573415
235,377,0.875
153,386,0.3333333333333333
36,345,0.7692307692307693
147,544,0.9090909090909092
32,407,0.4210526315789473
79,484,0.7142857142857143
134,414,0.2857142857142857
110,519,0.8235294117647058
13,297,0.2857142857142857
79,359,0.6666666666666666
80,452,1.0
41,652,0.888888888888889
170,314,0.5555555555555556
89,525,0.7692307692307693
217,430,0.5333333333333333
121,353,0.6153846153846153
150,349,0.2857142857142857
215,450,0.6666666666666666
287,406,0.0508474576271186
275,615,0.3076923076923076
285,361,0.0343642611683848
21,327,0.7200000000000001
54,421,0.4
266,328,0.0238568588469184
177,301,0.25
247,425,0.0295748613678373
269,312,0.1047463175122749
146,639,0.4444444444444444
153,297,0.3333333333333333
204,465,0.3333333333333333
120,355,0.3333333333333333
278,302,0.0714285714285714
216,478,0.5714285714285715
278,680,0.1764705882352941
49,461,0.2857142857142857
233,366,0.6666666666666666
143,451,0.7272727272727273
100,689,0.25
257,371,0.0701357466063348
129,349,0.2857142857142857
251,333,0.0235294117647058
213,464,0.2222222222222222
262,669,0.0261248185776487
136,407,0.5714285714285715
31,394,0.6666666666666666
264,549,0.0172413793103448
70,436,0.631578947368421
137,381,0.8235294117647058
232,451,0.923076923076923
209,355,0.5
21,532,0.4210526315789474
219,352,0.7499999999999999
89,405,0.48
213,412,0.2222222222222222
233,554,0.2857142857142857
166,330,0.2857142857142857
10,473,0.8
21,530,0.4210526315789474
215,526,0.6666666666666666
232,488,0.2857142857142857
88,292,0.4
16,425,0.7692307692307693
181,668,0.9090909090909092
68,366,0.8333333333333333
125,347,0.25
21,519,0.2352941176470588
233,690,0.2857142857142857
173,455,0.7777777777777777
155,570,0.9090909090909092
151,442,0.6
279,443,0.1463414634146341
105,482,0.5333333333333333
276,458,0.1666666666666666
247,722,0.0259259259259259
127,466,0.6250000000000001
52,443,0.8235294117647058
177,581,0.25
245,559,0.0329489291598023
38,420,0.1818181818181818
259,389,0.0313901345291479
47,455,0.75
225,361,0.1739130434782609
108,404,0.2857142857142857
