dataset,groundtruth_f1_score,model,f1_score
93,0.3,463,0.38106866777944703
93,0.3,465,0.37541642455849544
93,0.909090909,363,0.5917016543629683
93,0.303030303,367,0.5288322198609904
93,0.303030303,369,0.5177940897808779
93,0.666666667,415,0.5682197121488016
93,0.5,323,0.43554849024480013
93,0.384615385,371,0.6948309284528238
93,0.37037037,399,0.609951082998847
93,0.37037037,401,0.5929234305081609
93,0.909090909,411,0.5640091916297506
93,0.631578947,327,0.5181857336055561
93,0.666666667,389,0.5997806803281044
93,0.5,325,0.4312476176681599
93,0.666666667,477,0.6369179922352725
93,0.909090909,365,0.5791649463421578
93,0.384615385,373,0.6755957482756472
93,0.342857143,319,0.3381339626967919
93,0.352941176,321,0.3360417758668473
93,0.625,351,0.5324033436126855
93,0.625,353,0.5231804951707688
93,0.666666667,417,0.5495309366530194
93,0.454545455,431,0.4275587943661165
93,0.454545455,433,0.4202438230274669
93,0.666666667,453,0.7081694560210501
93,0.428571429,485,0.7670630363109331
93,0.909090909,379,0.49623858358504375
93,0.4,308,0.4447762526388362
93,0.413793103,310,0.43788298252279984
93,0.631578947,329,0.5120024982771857
93,0.714285714,423,0.6516228468391817
93,0.714285714,425,0.6360627078485541
93,0.909090909,413,0.5556389515459236
93,0.625,345,0.7383274260562117
93,0.444444444,290,0.2876418509363397
93,0.769230769,291,0.47269180234637154
93,0.5,292,0.2989729293600833
93,0.833333333,293,0.4649586913252344
93,0.5,294,0.2988713046265881
93,0.833333333,295,0.46314651936049456
93,0.5,296,0.29866451314208253
93,0.833333333,297,0.46346002911524803
93,0.5,298,0.2986645491272669
93,0.545454545,299,0.4408028961833183
93,0.545454545,301,0.43098909359385307
93,0.666666667,320,0.45464895135756916
93,0.666666667,322,0.45219777857247667
93,0.666666667,324,0.5351223793926497
93,0.666666667,326,0.5286347315866115
93,0.705882353,328,0.5541142685246242
93,0.705882353,330,0.5471899415365467
93,0.909090909,347,0.5428868067094823
93,0.909090909,348,0.5562685819643893
93,0.909090909,349,0.5343230105702764
93,0.909090909,350,0.5467470015214801
93,0.714285714,352,0.5572978119423119
93,0.714285714,354,0.5500437769098626
93,0.625,355,0.5564833594474442
93,0.714285714,356,0.565978238641959
93,0.625,357,0.5501898723705695
93,0.714285714,358,0.5607512532498385
93,0.666666667,375,0.5415071668268122
93,0.714285714,376,0.5483498342004189
93,0.666666667,377,0.5342976482466023
93,0.714285714,378,0.540169609874516
93,0.909090909,380,0.48781994788421673
93,0.909090909,381,0.48838591147645605
93,0.909090909,382,0.4793583691280917
93,0.666666667,383,0.4582396970403505
93,0.769230769,384,0.5203932965816518
93,0.666666667,385,0.4477746968622723
93,0.769230769,386,0.5097294720226996
93,0.476190476,403,0.42594561973413586
93,0.666666667,404,0.4986141538020215
93,0.476190476,405,0.42174674661884654
93,0.666666667,406,0.49376714033153096
93,0.666666667,407,0.5107355859601449
93,0.714285714,408,0.5259781261638514
93,0.666666667,409,0.5031234987542287
93,0.714285714,410,0.5181736102509725
93,0.909090909,412,0.5582397925772385
93,0.909090909,414,0.5490367976391429
93,0.714285714,432,0.4973002184880933
93,0.714285714,434,0.49097922295892926
93,0.526315789,435,0.48219944946539794
93,0.714285714,436,0.525973254797889
93,0.526315789,437,0.47572450979957354
93,0.714285714,438,0.5196260248365799
93,0.666666667,439,0.444869769976392
93,0.714285714,440,0.4475669964963697
93,0.666666667,441,0.44203644180801327
93,0.714285714,442,0.4437428749748608
93,0.909090909,459,0.49386334716688396
93,0.909090909,460,0.4821747452232623
93,0.909090909,461,0.48664948963602267
