model,f1_score,groundtruth_f1_score,dataset
463,0.2897780369680433,0.3,93
465,0.28746654423086515,0.3,93
363,0.38940409242506,0.909090909,93
367,0.5994179009725503,0.303030303,93
369,0.5860228598456025,0.303030303,93
415,0.3948568304585492,0.666666667,93
323,0.31257848855579107,0.5,93
371,0.854839224905958,0.384615385,93
399,0.8301176867191986,0.37037037,93
401,0.8034252672325835,0.37037037,93
411,0.3548631005156423,0.909090909,93
327,0.3395084557902718,0.631578947,93
389,0.5795916345562147,0.666666667,93
325,0.3107607133966129,0.5,93
477,0.4898338317560955,0.666666667,93
365,0.37705036311881657,0.909090909,93
373,0.8278215119508494,0.384615385,93
319,0.27414880969775673,0.342857143,93
321,0.27318415079480685,0.352941176,93
351,0.3404990023671669,0.625,93
353,0.33703000076642126,0.625,93
417,0.3763692008561704,0.666666667,93
431,0.3005609988951395,0.454545455,93
433,0.2979246606009721,0.454545455,93
453,0.7174211728170106,0.666666667,93
485,0.8500722001131922,0.428571429,93
379,0.3386623636937399,0.909090909,93
308,0.39371603168062075,0.4,93
310,0.38600449185590435,0.413793103,93
329,0.3371593057415745,0.631578947,93
423,0.6775818240290047,0.714285714,93
425,0.6583979946972045,0.714285714,93
413,0.3517000054460486,0.909090909,93
345,0.868905709879999,0.625,93
290,0.25545087237772374,0.444444444,93
291,0.3232303989050947,0.769230769,93
292,0.25943332824127724,0.5,93
293,0.3206097336587919,0.833333333,93
294,0.25943638000463637,0.5,93
295,0.32002977046715103,0.833333333,93
296,0.259459493390369,0.5,93
297,0.32020017395739286,0.833333333,93
298,0.25945948936825247,0.5,93
299,0.3112933444267241,0.545454545,93
301,0.30777884948140277,0.545454545,93
320,0.32287164131452073,0.666666667,93
322,0.32149939940201966,0.666666667,93
324,0.3430963070754196,0.666666667,93
326,0.34067599065120924,0.666666667,93
328,0.35076365697628087,0.705882353,93
330,0.3481688600387493,0.705882353,93
347,0.3517888162796293,0.909090909,93
348,0.3546870981963577,0.909090909,93
349,0.34854654750168257,0.909090909,93
350,0.3511741983366501,0.909090909,93
352,0.35050186179552756,0.714285714,93
354,0.3480419246197904,0.714285714,93
355,0.3463415517486515,0.625,93
356,0.3519299986523136,0.714285714,93
357,0.3442441624129065,0.625,93
358,0.3502178819811587,0.714285714,93
375,0.3443052427308071,0.666666667,93
376,0.3477209573381111,0.714285714,93
377,0.3419154687479833,0.666666667,93
378,0.345043307628751,0.714285714,93
380,0.33599627452049086,0.909090909,93
381,0.33551288003181423,0.909090909,93
382,0.33265225929474884,0.909090909,93
383,0.32355978335894175,0.666666667,93
384,0.3411602431889735,0.769230769,93
385,0.31966411962284674,0.666666667,93
386,0.33768096990557805,0.769230769,93
403,0.30327090663966483,0.476190476,93
404,0.3312648831667783,0.666666667,93
405,0.3019194519824074,0.476190476,93
406,0.32965244665587495,0.666666667,93
407,0.3369785278640067,0.666666667,93
408,0.34213887581239233,0.714285714,93
409,0.3343687164921346,0.666666667,93
410,0.33946119195761315,0.714285714,93
412,0.3529546253359961,0.909090909,93
414,0.3495598073686811,0.909090909,93
432,0.3285019134282312,0.714285714,93
434,0.3265785753878066,0.714285714,93
435,0.31921132880189623,0.526315789,93
436,0.3378824268000257,0.714285714,93
437,0.3170942718716518,0.526315789,93
438,0.3359788690138879,0.714285714,93
439,0.3206202979561753,0.666666667,93
440,0.322133207353942,0.714285714,93
441,0.3193166699601495,0.666666667,93
442,0.32051065183915295,0.714285714,93
459,0.33706610778938206,0.909090909,93
460,0.33359774505749956,0.909090909,93
